BROUGHTON IN FURNESS - Orchard Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD219863,Long,-3.200627,Lat,54.266371,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,5.84,6.75,7.83,3.28,4.02,4.72,5.55,3.45,6.67,3.03,5.06,2.72,5.55,2.39,6.05,5.66,,,,,,
February,,,,,,,,,5.43,3.3,6.33,2.26,2.27,3.78,4.37,3.43,4.38,3.67,3.11,3.76,7.22,6.84,2.87,2.76,,,,,,
March,,,,,,,,,2.04,3.52,0.93,4.44,4.24,4.08,4.81,3.85,3.74,6.3,4.67,5.75,1.94,1.76,8.52,4.61,,,,,,
April,,,,,,,,,4.94,5.42,3.82,3.6,2.38,3.49,3.93,6.02,2.44,3.6,3.45,3.95,3.21,3.76,1.19,4.75,,,,,,
May,,,,,,,,,3.91,4.8,2.75,1.61,3.24,3.38,2.75,2.09,6.99,6.25,4.61,3.41,2.66,3.09,2.73,3.71,,,,,,
June,,,,,,,,,3.56,1.93,4.28,3.36,1.73,2.72,1.45,2.7,2.52,8.22,2.97,2.46,2.8,3.1,6.13,,,,,,,
July,,,,,,,,,1.14,3.82,2.3,1.13,5.53,5.46,3.19,2.13,3.71,3.55,5.45,9.25,4.6,1.74,4.5,,,,,,,
August,,,,,,,,,9.82,1.42,8.53,6.03,4.67,7.26,4.65,7.44,5.42,6.24,4.8,3.69,7.42,5.4,7.65,,,,,,,
September,,,,,,,,,3.27,7.27,4.11,1.87,1.7,7.49,3.51,3.93,2.25,1.05,8.01,3.53,1.03,5.64,2.69,,,,,,,
October,,,,,,,,,5.32,3.69,8.99,6.5,4.3,10.56,3.66,5.47,6.08,7.94,3.01,7.9,2.27,4.65,7.22,,,,,,,
November,,,,,,,,,6.18,4.52,5.58,8.42,4.92,5.55,5.69,5.89,4.79,6.53,5.66,2.31,6.07,6,6.54,,,,,,,
December,,,,,,,,,6.86,5.73,8.49,6.12,6.38,4.68,4.57,2.79,6.19,7.86,6.4,10.36,7.4,9.63,6.03,,,,,,,
Total,,,,,,,,,58.31,52.17,63.94,48.62,45.38,63.17,48.13,49.19,55.18,64.24,57.2,59.09,52.17,54,62.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890s split across two gauges. 1898 gauge moved 7/8th SE mile to Orchard Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
