TAPLOW COURT GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU906822,Long,-0.695271,Lat,51.531449,Elevation,212,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,995/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.86,1.62,1,4,3.9,2.9,4.28,2.37,2.64,2.79,4.59,1.66,1.85,1.67,2.02,4.59,1.2,0.6,2.47,1.71,1.02,0.93,2.61,3.62,1.7,2.93,2.63,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.67,0.14,2.38,1.9,4.56,0.42,0.83,2.23,2.27,1.34,1.02,1.4,1.67,2.48,1.25,1.14,0.96,3.58,4.8,0.8,1.41,2.13,1.52,0.16,3.08,3.22,0.09,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.32,2.19,0.53,1.47,2.95,0.26,1.21,2.62,2.99,1.8,0.45,0.2,0.52,1.12,6.01,0.75,1.33,0.68,3.43,2.56,0.49,2.08,1.03,0.62,1.34,1.69,2.27,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.13,1.56,3.23,1.72,2.89,0.11,3.1,1.86,1.77,1.3,0.86,1.53,1.14,2.17,1.68,1.48,1.17,2.07,2.56,1.97,2.3,0.36,0.41,1.53,0.32,1.23,2.35,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.62,0.49,1.41,0.34,3.81,1.8,1.47,1.98,1.88,2.69,1.94,0.68,2.94,4.33,1.73,2.58,2.3,1.56,2.4,2.25,1.45,2.79,3.89,0.19,1.18,1.8,0.57,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.6,1.39,3.51,3.08,1.83,0.59,1.19,0.72,1.81,0.43,1.83,1.39,2.18,2.69,2.22,2.55,0.57,1.67,1.13,1.48,1.14,3.38,2.37,1.98,1.15,3.82,0.76,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.13,1.11,1.37,3.71,2.07,1.4,2.61,2.24,5.77,1.72,1.85,1.94,2.68,2.45,1.42,1.08,2.81,4.2,1.49,0.42,3.23,2.49,1,3.13,3.3,2.51,3.46,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,0.53,2.52,1.55,0.39,2.33,1.92,2.19,0.01,4.65,2,1.44,1.45,1.33,4.56,0.09,2.31,1.83,3.24,3.5,3.87,1.99,2.98,0.87,3.34,2.33,3.75,2.21,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.39,1.51,3.98,3.38,2.82,1.62,0.7,1.12,0.21,1.33,1.59,2.04,2.12,4.06,1.16,1.97,1.18,2.63,2.74,3.06,1.93,1.73,1.61,2.36,2.57,4.54,0.06,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,4.47,1.63,1.68,2.71,1.9,2.36,2.68,4.18,3.12,1,3.41,3.11,3.24,3.01,1.2,0.19,1.97,6.28,0.48,0.77,2.94,2.53,1.96,3.14,1.87,2.01,3.01,2.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
