TAPLOW COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU906822,Long,-0.695271,Lat,51.531449,Elevation,217,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.09,2.56,1.47,0.5,1.44,2.68,2.36,0.78,1.58,0.95,2.45,2.77,0.85,0.72,2.61,2.57,0.73,3.8,0.71,1.73,0.77,1.78,1.04,3.45,3.12,0.2,3.37,1.26,1.43,2.64,2.71,2.28,2.58,2.52,1.39,2.97,1.77,2.63,1.95,3.86,1,3.25,1.32,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.29,0.72,0.02,1.24,2.77,1.81,0.05,0.41,2.74,1.36,2.13,4.14,1.24,0.93,0.91,2.49,0.53,1.73,1.47,1.13,0.16,2.58,1.75,1.6,0.66,2.38,3.14,3.13,0.87,0.98,2.3,0.41,0.18,2.23,3.56,0.08,3.03,1.79,3.25,1.71,0.61,0.73,1.36,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.77,1.58,1.36,0.77,0.1,1.22,1.19,3.41,3.32,0.63,0.48,0.64,1.31,1.65,2.97,1.15,3.06,1.22,1.1,2.98,2.77,0.86,1.51,3.59,1.97,3.99,0.91,3.56,1.34,0.73,3.9,1.52,0.87,1.69,2.28,0.92,0.3,0.22,2.3,0.86,0.07,1.4,0.21,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.98,1.42,0.78,0.79,0.03,1.44,0.95,0.33,1.44,1.18,2.1,0.68,2.08,0.83,2.27,1.22,1.6,0.37,2.73,3.25,2.31,1.36,1.74,0,2.45,0.69,0.78,1.09,1.94,3.24,2.26,3.6,0.88,2.72,2.33,2.79,1.38,2.58,1.21,1.09,0.79,1.85,3.24,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.84,1.25,2.38,1.2,0.71,1.09,0.21,0.22,1.3,1.82,2.06,1.08,0.41,2.19,3.52,2.64,0.66,1.96,1.66,1.48,1.16,0.98,2.19,1.71,1.94,1.22,2.81,2,2.2,1.98,0.42,0.92,1.02,0.84,1.65,3.1,2.31,1.78,1.03,1.6,2.59,2.19,2.79,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.62,2.6,1.77,2.11,0.67,1.92,0.42,1.72,3.25,1.11,2.09,1.96,1.17,4.42,6.31,0.79,3.6,2.91,1.78,0.95,4,3.64,1.7,3.71,0.86,1.61,0.53,2.54,2.28,0.85,1.08,2.57,0.21,1.01,0.44,3.12,,3.15,2.4,2.64,0.95,0.67,1.29,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.15,5.11,2.21,2.26,2.3,2.88,4.36,1.04,0.65,1.09,0.38,0.43,4.4,0.93,4.29,3.33,0.46,0.27,2.38,3.11,2.72,1.98,0.14,0.86,1.17,2.46,4.07,0.96,4.61,4.15,3.59,6.59,,3.66,2.26,4.18,3.9,1.28,2.9,1.91,1.48,1.76,3.05,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.92,1.81,3.99,4.11,1.18,3,2.43,2.17,2.78,0.9,0.4,2.45,2.29,3,2.82,1.89,2.16,0.81,1.83,2.5,2.34,1.8,0.81,5.15,0.62,1.66,2.09,4.36,3.59,1.19,2.26,1.5,1.02,2.85,1.95,2.3,2.99,1.94,3.32,2.44,1.13,2.79,4.03,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.47,0.74,1.4,3.29,0.61,1.67,1.03,5.27,2.22,0.59,2.08,0.57,1.66,0.56,2.05,1.42,1.67,1.1,0.62,1.58,2.5,0.38,1.4,2.45,1.71,0.79,2.02,1.15,1.48,4.33,1.85,1.42,2.06,2.02,1.74,3.29,2.65,2.04,4.93,0.94,0.49,2.89,1.77,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.24,1.09,6.51,3.23,3.79,4.04,2.92,2.59,0.9,2.45,2.41,2.45,2.17,1.38,7.28,1.66,1.31,4.59,4.3,2.08,4.17,2.7,1.78,2.5,3.96,1.66,2.38,3.58,4.09,0.95,0.9,2.69,0.95,0.79,5.04,3.4,2.4,2.3,1.47,3.72,3.61,0.76,0.74,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
