CHIDDINGFOLD-STONEHURST,,,,,,,,,,,
Grid ref,SU973365,Long,-0.6104,Lat,51.11994,Elevation,200,ft,,,
Station no,61,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.09,3.06,4.59,1.84,2.87,3.83,5.02,2.42,5.14,1.11,5.16
February,0.62,0.25,3.19,5.98,0.54,5.12,2.37,4.59,2.18,0.83,1.16
March,2.31,1.15,2.64,2.19,1.85,0.77,0.27,4.04,2.47,0.01,1.46
April,3.28,0.58,4.13,3.07,3.79,3,3.04,2.3,1.99,0.7,2.52
May,0.85,1.84,0.87,2.66,4.78,5.02,1.62,1.05,2.15,2.63,2.86
June,2.5,0.07,1.1,0.39,2.85,0.06,2.57,2.96,2.77,1.67,0.36
July,5.06,0.39,4.35,1.12,5.41,3.65,1.41,3.08,1.68,1.52,2.78
August,1.98,1.57,2.99,3.13,2.97,4.28,1.53,4.26,2.52,2.07,4.3
September,2.25,0.93,1.51,1.89,4.83,2.81,0.63,5.67,1.41,0.2,2.67
October,1.68,0.24,0.88,6.6,4.32,4.45,2.56,2.22,7.4,4.01,1.54
November,2.29,2.35,2.16,1.9,3.26,3.17,7.28,3.95,3.36,8.4,5.81
December,3.66,2.18,4.88,3.19,5.62,3.78,0.2,4.71,2.96,9.14,3.5
Total,31.57,14.61,33.29,33.96,43.09,39.94,28.5,41.25,36.03,32.29,34.12
,,,,,,,,,,,
,,,,,,,,,,,
BR 1919 has no entry for this location,,,,,,,,,,,
Moved to Colgate Horsham Suusex,,,,,,,,,,,
