PITSFORD-RES,,,,,,,,,,
Grid ref,SP758687,Long,-0.889569,Lat,52.311189,Elevation,332,ft,,
Station no,1121/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.36,3.4
February,,,,,,,,,0.04,1.45
March,,,,,,,,,2.75,1.97
April,,,,,,,,,1.9,0.51
May,,,,,,,,,0.29,1.13
June,,,,,,,,,0.57,3.28
July,,,,,,,,,1.57,2.46
August,,,,,,,,,0.63,3.33
September,,,,,,,,,0.03,3.68
October,,,,,,,,,1.8,5.49
November,,,,,,,,1.63,1.8,3.15
December,,,,,,,,2.37,3.88,2.68
Total,,,,,,,,,18.62,32.53
,,,,,,,,,,
,,,,,,,,,,
