PAIGNTON-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX886607,Long,-3.56962,Lat,50.4362,Elevation,42,ft,,,,,,,,,,,,,
Station no,1692,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.36,5.34,1.59,4.79,7.28,6.23,4.7,6.7,2.76,7.65,3.12,6.2,3.44,4.36,0.47,,,,,
February,,0.26,3.95,8.72,1.95,5.75,3.19,4.04,3.14,3.53,1.84,2.16,0.01,4.88,0.13,4.86,,,,,
March,,2.48,4.11,2.39,2.35,0.35,0.98,4.42,3.76,0.27,2.87,2.67,3.07,4.64,4.02,1.45,,,,,
April,,0.55,5.1,3.61,3.41,3.01,2.91,2.12,2.49,0.8,2.85,3.67,3.08,1.77,3.6,4.09,,,,,
May,,2.8,0.7,2.1,4.91,4.07,1.1,0.4,1.2,3.28,1.61,2.28,3.68,1.73,1.46,2.67,,,,,
June,,0.08,0.53,0.25,2.39,0.01,3.96,2.03,2.12,2.61,0.31,3.38,3.86,1.65,1.72,5.38,,,,,
July,,0.56,4.25,1.25,4.04,2.72,0.79,2.47,2.11,1.52,1.83,4.62,1.81,2.26,1.04,0.15,,,,,
August,,2.72,3.61,2.58,2.37,2.61,1.24,4.18,2.12,2.04,5.34,4.08,1.68,1.21,3.22,2.43,,,,,
September,,1.32,3.51,2.71,5.53,3.52,0.84,5,2.27,0.29,3.89,1.56,5.57,3.27,3.05,4.24,,,,,
October,,0.89,1.87,7.21,6.5,4.57,3.49,3.41,6.39,5.43,3.78,0.54,8.11,2.28,2.72,4.16,,,,,
November,,4.27,2.97,2.71,4.35,4.15,10.35,4.14,5.87,14.07,6.94,7.92,2.63,1.35,2.47,7.55,,,,,
December,,1.92,7.19,2.97,7.18,6.49,0.57,5.64,4.54,10.61,3.97,1.92,3.47,2.32,12.43,5.78,,,,,
Total,,22.21,43.13,38.09,49.77,44.53,35.65,42.55,42.71,47.21,42.88,37.92,43.17,30.8,40.22,43.23,,,,,
,,,,,,,,,,,,,,,,,,,,,
1936 Gauge moved to Berry Pomeroy Vicarage 3.5 miles W,,,,,,,,,,,,,,,,,,,,,
