KINROSS TURFHILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 106 028,Long,-3.443262,Lat,56.209333,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,7.12,3.37,2.4,2.18,2,4.04,4.68,6.69,2.67,5.22,3.06,2.59,3.15,6.46,3.12,2.62,,,,,,,
February,,,,,,,,3.34,1.65,4.6,3.73,5,3.67,3.65,2.7,4.46,2.23,2.72,1.58,2.8,1.23,1.2,2.58,,,,,,,
March,,,,,,,,2.51,1.46,4.93,2.93,5,4.95,1.44,3.08,2.99,5.1,2.23,5.28,1.56,3.36,3.64,1.39,,,,,,,
April,,,,,,,,3.29,2.03,2.41,3.4,1.24,3.47,1.72,1.11,2.9,2.3,2.3,2.32,4.12,0.98,1.67,1.16,,,,,,,
May,,,,,,,,3.08,3.9,1.81,1.22,2.15,3.56,1.99,3.56,3.82,3.92,1.26,3.19,3.06,1.76,1.42,4.11,,,,,,,
June,,,,,,,,3.23,3.6,6.63,2.11,3.57,3.25,2.82,0.48,1.09,1.52,0.87,2.94,1.35,4.41,1.07,4.24,,,,,,,
July,,,,,,,,4.69,0.48,4.92,4.55,4.92,3.9,7.06,5.79,1.29,3.91,3,4.74,2.25,4.01,2.56,1.85,,,,,,,
August,,,,,,,,7.73,3.31,5.09,0.67,4.49,2.33,3.96,1.76,3.19,1.88,3.51,3.05,6.12,3.35,6.12,6.43,,,,,,,
September,,,,,,,,1.94,4.73,3.56,3.27,3.03,2.65,3.19,2.66,5.67,5.17,4.41,0.75,1.02,5.3,6.61,3.31,,,,,,,
October,,,,,,,,5.38,4.58,2.15,1.3,3.86,3.47,4.18,3.4,2.09,4.55,1.89,2.56,4,3.37,3.22,6.02,,,,,,,
November,,,,,,,,5.29,2.23,1.61,5.84,4.87,4.78,5.71,3.23,2.8,2.8,5.65,8.47,1.32,8.05,4.27,3.31,,,,,,,
December,,,,,,,,4.23,2.02,2.99,3.33,2.48,5.16,3.45,7.02,2.73,5.04,2.29,3.37,2.93,2.43,6.76,1.4,,,,,,,
Total,,,,,,,,51.83,33.36,43.1,34.53,42.61,45.23,43.85,41.48,35.7,43.64,33.19,40.84,33.68,44.71,41.66,38.42,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893 Gauge moved 1.5 miles S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
