"KINROSS GELLYBANK",,,,,,,,,,,,
Grid ref,NO104000,Long,-3.445114,Lat,56.184172,,,,,,,
Station no,RR1814,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.31,2.32,2.40,6.11,2.37,1.20,3.54,,,,,
February,3.20,1.06,1.41,6.21,3.25,1.29,1.90,,,,,
March,1.08,1.77,1.61,5.59,1.77,4.12,2.84,,,,,
April,2.05,2.57,1.75,1.09,3.52,1.93,1.12,,,,,
May,2.49,1.65,1.74,1.54,2.59,1.76,5.25,,,,,
June,2.50,2.01,1.62,2.32,1.49,0.78,1.40,,,,,
July,3.62,0.82,3.26,4.95,1.68,2.45,1.42,,,,,
August,3.90,4.07,3.01,4.16,5.04,3.47,5.06,,,,,
September,3.09,1.90,1.94,2.98,2.86,1.52,1.35,,,,,
October,4.33,3.12,1.66,6.94,1.52,1.74,4.58,,,,,
November,5.33,2.15,2.29,2.01,0.87,5.03,3.99,,,,,
December,5.19,3.60,3.73,3.02,3.31,2.74,1.65,,,,,
Total,41.09,27.04,26.42,46.92,30.27,28.03,34.10,,,,,
Calc annual,41.09,27.04,26.42,46.92,30.27,28.03,34.10,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
