SPINKHILL-MT-ST-MARYS-COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK454786,Long,-1.3202094,Lat,53.302411,Elevation,350,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2719/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.88,1.94,1.95,1.46,3.46,4.38,2.45,5.64,3.16,4.67,2.59,3.53,3.1,2.11,2.5,2.72,5.4,0.92,1.07,2.32,2.46,0.68,1.75,2.66,,,,,
February,,0.17,3.12,0.51,2.85,2.5,3.4,0.65,1.33,2.98,2.77,0.79,1.05,1.97,1.94,2.7,2.48,1.51,1,5.14,3.83,0.39,1.61,1.83,3.12,,,,,
March,,0.83,2.51,2.78,1.08,1.66,2.31,0.22,2.14,2.33,4.37,1.77,0.73,0.5,0.55,1.14,4.59,0.88,1.19,0.85,3.78,2.23,1.3,1.93,3.14,,,,,
April,,1.22,0.99,2.31,2.25,1.56,2.42,0.05,1.97,2.1,1.67,1.66,1.26,2.25,1.41,1.13,,1.28,1.98,2.07,1.11,1.38,2.01,0.19,0.64,,,,,
May,,5.8,1.72,0.91,0.39,0.94,2.64,2.29,1.31,1.2,2.76,4.98,2.73,2.3,1.9,2.02,2.01,1.59,1.56,1.43,3.7,2.22,1.93,4.67,2.99,,,,,
June,,1,1.57,1.17,2.97,3.75,1.68,2.09,1.86,0.87,0.37,1.2,1.51,2.03,2.56,2.76,2.37,2.34,1.49,1.43,0.75,2.24,2.23,2.2,3.63,,,,,
July,,4.34,1.73,1.14,0.77,4.05,2.71,3.29,5.12,2.92,4.16,1.96,0.96,2.14,2.27,2.94,2.49,1.48,4.52,1.63,0.81,1.21,3.18,1.82,0.78,,,,,
August,,1.76,0.63,1.1,2.48,1.35,1.27,3.03,2.75,0.2,2.76,2.27,1.75,3.54,3.31,4.73,0.62,4.81,1.43,4.35,5.66,1.95,1.82,6.29,1.03,,,,,
September,,1.73,1.23,1.35,4.48,2.18,1.15,2,2.25,1.23,0.51,2.47,2.64,4.6,1.08,3.27,1.26,1.61,1.12,2.98,1.83,2.16,1.61,2.38,0.78,,,,,
October,,3.53,5.23,1.76,3.62,2.88,3.18,3.65,3.94,4.49,3.12,1.94,1.76,3.22,4.57,0.72,0.66,1.74,3.56,0.91,1.16,4.65,2.14,3.39,2.14,,,,,
November,,1.86,1.83,1.75,5.15,3,1.82,3.27,3.93,5.48,3.51,1.48,2.05,4.41,0.5,5.19,1.82,1.12,3.53,4.2,6.9,1.69,1.48,5.82,2.33,,,,,
December,,1.05,0.48,4.05,3.27,2.43,3.67,3.39,2.28,1.9,0.9,1.82,0.95,2.01,1.22,2.7,2.38,2.71,2.65,1.49,1.98,2.14,1.44,2.96,2.55,,,,,
Total,,25.17,22.98,20.78,30.77,29.76,30.63,26.38,34.52,28.86,31.57,24.93,20.92,32.07,23.42,31.8,,26.47,24.95,27.55,33.83,24.72,21.43,35.23,25.79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2845 SPINKHILL Start 1932 end 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record. Altitudes match. This NGR does not fit the relationship to the church and the gauge could be 100 to 150 m N. Gauge moved May 1932 200 yards ENE and again in Oct 1955 300 yards ESE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
