GRANTOWN STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 038 262,Long,-3.598031,Lat,57.316055,Elevation,664,ft,,,,,,,,,,,,
Station no,RR1981,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,1.59,1.04,,1.96,,1.81,1.85,1.2,1.08,,,,,,,,,
February,,,,1.3,,1.15,,3.45,0.58,0.78,1.96,,,,,,,,,
March,,,,1.49,,2.07,,1.4,3.5,1.37,0.9,,,,,,,,,
April,,,,2.52,,1.05,2.11,1.17,0.27,1.54,2.1,,,,,,,,,
May,,,,2.58,,,1.12,2.5,1.65,3.95,1.13,,,,,,,,,
June,,,,2.19,,,1.9,1.86,2.25,2.19,2.39,,,,,,,,,
July,,,,3.36,,,1.78,2.05,1.54,3.03,5.06,,,,,,,,,
August,,,,,,,1.48,4.3,5.11,3.68,1.36,,,,,,,,,
September,,,,,,,3.96,7.23,2.97,1.06,1.67,,,,,,,,,
October,,,,,,,2.38,3.12,3.6,1.5,4.01,,,,,,,,,
November,,,,,,,2.42,3.11,6.78,3.67,3.25,,,,,,,,,
December,,,,,,,3.15,2.97,4.29,1.1,2.82,,,,,,,,,
Total,,,,,,,,34.97,34.39,25.07,27.73,,,,,,,,,
