BELPER-FERNSLOPE-MONTHLY,,,,,,,,,,
Grid ref,SK351477,Long,-1.4781366,Lat,53.025446,Elevation,356,ft.,,
Station no,RR2341,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,2.47,,
April,,,,,,,,2.74,,
May,,,,,,,,3.49,,
June,,,,,,,,1.7,,
July,,,,,,,,3.97,,
August,,,,,,,,5.27,,
September,,,,,,,,2.52,,
October,,,,,,,,2.55,,
November,,,,,,,,3.82,,
December,,,,,,,,2.62,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR is Fernslope. Altitudes match.,,,,,,,,,,
