BELPER-FERNSLOPE-MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK351477,Long,-1.4781366,Lat,53.025446,Elevation,356,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,3.33,1.22,3.4,2.14,3.08,1.79,3.21,1.94,1.08,4.43,2.7,2.07,3.83,1.79,4.68,2.66,1.94,0.22,0.61,3.36,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,3.36,2.16,4.74,3.49,3.09,4.37,1.51,2.44,2.72,3.67,,,,
February,,,,0.72,2.6,2.66,2.98,2.45,2.09,2.42,1.68,2.11,3.1,0.82,1.78,1.43,3.15,2.28,1.97,3.69,2.18,5.57,2.36,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,0.84,2.25,3.08,2.88,0.32,3.15,5.11,1.04,3.4,2.85,,,,
March,,,,0.62,3.09,1.33,1.51,2.75,3.19,2.3,2.16,1.21,2.29,2.5,1.15,0.8,3.59,2.48,0.87,1.36,2.67,3.39,2.08,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72,2.03,1.44,5.26,2.25,1.64,2.49,1.81,1.44,0.87,1.09,,,,
April,,,,1.08,1.61,1.13,0.8,3.34,2.25,1.64,0.61,3.21,2.52,0.45,1.65,0.67,3.1,2.71,1.47,2.6,1.31,1.2,3.64,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,1.46,1.44,1.46,5.04,1.09,3.09,2.34,2.4,1.97,1.59,,,,
May,,,,0.78,1.76,2.8,0.98,1.88,1.67,4.48,1.33,1.97,1.44,2.69,0.85,1.78,0.9,3.47,5.74,3.1,1.92,1.9,2.86,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.69,3,1.51,2.78,2.19,0.85,3.18,3.57,4.23,3.01,,,,
June,,,,4.9,1.61,1.38,4.1,1.91,0.35,1.01,1.4,4.03,4.39,2.77,0.7,3.09,2.76,1.71,2.81,6.05,3.49,2.31,4.27,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,2.52,0.61,0.81,2.89,0.36,0.86,0.57,2.35,0,1.95,,,,
July,,,,1.75,1.1,2.39,3.61,2,0.33,0.24,1.08,3.07,4.58,2.26,2.73,3.97,1.07,3.91,0.52,3.41,5.51,1.21,3.55,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,1.91,3.84,1.9,5.39,0.7,4,4.59,3.26,1.53,2.48,,,,
August,,,,3.22,1.13,4.86,4.38,4.2,3.05,1.23,1.06,1.44,2.78,3.25,2.31,3.07,1.23,5.2,7.23,5.39,3.26,6.66,1.69,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,5.53,2.39,2.35,1.1,4.16,6.49,3.21,3.43,3.75,2.33,,,,
September,,,,2.77,3.28,0.15,6.01,1.96,1.97,4.98,1.64,4.64,3.29,1.71,2.17,4.16,4.44,2.54,2.34,3.21,3.51,1.93,1.97,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,1.42,5.98,2.13,1.55,1.19,2.34,2.62,2.95,3.73,1.11,,,,
October,,,,3.9,3.22,5.19,3.02,3.18,2.03,2.02,5.57,3.02,5.45,2.79,3.03,5.71,3.02,2.54,3.54,1.11,5.24,4.09,6.36,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,4.7,1.61,2.82,2.14,3.75,0.72,1.95,4.7,4.14,2.48,,,,
November,,,,1.64,2.83,2.57,3.17,0.93,1.18,2.43,2.5,1.57,3.1,2.59,3.63,4.05,4.07,3.82,2.53,1.62,3.02,3.96,4.59,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,1.63,1.63,2.22,0.96,1.68,1.15,2.54,1.61,2.11,4.28,,,,
December,,,,1.91,2.25,1.03,2.39,2.18,7.25,4.3,2.45,1.69,4.11,0.3,2.68,0.82,6.89,2.74,1.89,1.67,4.21,2.77,6.22,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,1.51,4.63,4.48,3.32,2.51,3.84,3.32,2.92,2.69,1.05,,,,
Total,,,,26.62,25.7,28.89,35.09,29.86,27.15,30.26,23.42,29.04,41.48,24.83,24.75,33.38,36.01,38.08,33.57,35.15,36.54,35.6,42.95,34.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63,29.6,30.98,32.76,33.79,22.68,33.35,32.75,32.11,31.14,27.89,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Fernslope. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 total is in brackets because gauge moved twice but no details given of when and how far. Readings left in this record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
