CODFORD-BAPTON,,,,,,,,,,,,,,,,,,,,
Grid ref,ST991380,Long,-2.014244,Lat,51.141266,Elevation,301,ft,,,,,,,,,,,,
Station no,RR7096,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.38,2.65,0.46,2.06,1.74,3,,,,,,
February,,,,,,,,,2.16,4.56,4.64,3.96,2.14,5.13,,,,,,
March,,,,,,,,,0.83,0.66,1.66,3.02,1.7,1.31,,,,,,
April,,,,,,,,,2.7,2.78,2.1,0.59,4.87,1.09,,,,,,
May,,,,,,,,,4.49,2.85,0.27,1.6,2.64,2.4,,,,,,
June,,,,,,,,,3.51,5.75,2.01,2.54,3.9,2.35,,,,,,
July,,,,,,,,,2.26,3.83,4.14,2.55,2.99,4.03,,,,,,
August,,,,,,,,,6.44,5.61,1.22,6.59,2.13,1.33,,,,,,
September,,,,,,,,,1.7,3.66,3.37,1.85,2.97,4.12,,,,,,
October,,,,,,,,,4.89,0.87,5.49,2.12,6.6,2.85,,,,,,
November,,,,,,,,,2.82,0.31,2.75,4.21,4.42,,,,,,,
December,,,,,,,,,1.34,1.44,4.1,3.53,3.99,,,,,,,
Total,,,,,,,,,34.52,34.97,32.21,34.62,40.09,,,,,,,
