FALSTONE RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY728868,Long,-2.4285966,Lat,55.174747,Elevation,485,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,4.16,5.03,8.41,3.66,3.03,3.58,4.46,5.08,4.07,9.55,1.58,5.56,2.96,4.06,4.51,,,,,,,
February,,,,,,,,,,1.64,4.12,0.3,3.77,4.36,0.86,6.21,4.04,1.74,3.89,1.02,1.1,3.36,0.5,4.61,,,,,,,
March,,,,,,,,,,3.62,3.53,5.08,3.82,1.52,1.07,2.51,2.47,3.29,4.6,0.25,2.44,1.32,2.55,1.49,,,,,,,
April,,,,,,,,,,1.9,2.71,0.69,2.52,2.62,2.1,4.36,2.35,2.58,0.75,1.49,1.95,3.02,3.64,1.59,,,,,,,
May,,,,,,,,,,1.61,5.67,2,1.51,2.13,4.68,5.61,2.82,2.22,1.8,1.95,1.4,3.08,2.3,2.09,,,,,,,
June,,,,,,,,,,1.52,1.38,0.74,1.88,1.02,1.28,0.13,3.35,3.54,6.26,1.93,2.25,4.45,1.14,2.65,,,,,,,
July,,,,,,,,,,1.27,3.48,2.97,3.6,3.07,5.83,1.2,4.32,3.68,2.09,4.41,5.25,4.83,3.62,2.23,,,,,,,
August,,,,,,,,,,3.52,2.06,5.81,2.66,6.61,3.74,3.16,5.4,5.33,4.25,4.65,5.36,4.23,1.63,1.74,,,,,,,
September,,,,,,,,,,2.33,1.42,2.18,3.82,3.28,3.96,3.38,5.05,5.9,1.83,0.93,2.97,1.16,4.97,1.01,,,,,,,
October,,,,,,,,,,3.3,1.93,3.5,1.34,4.95,4,3.35,4.18,4.17,4.78,4.35,4.18,2.21,5.67,3.85,,,,,,,
November,,,,,,,,,,5.77,3.12,2.16,0.8,5.31,2.45,1.49,5.91,3.77,4.91,5.27,4.63,7.27,2.13,,,,,,,,
December,,,,,,,,,,6.38,5.58,10.75,4.52,2.71,6.33,5.07,0.56,2.29,4.37,7.54,3.43,2.7,5.3,,,,,,,,
Total,,,,,,,,,,37.02,40.03,44.59,33.9,40.61,39.88,40.93,45.53,42.58,49.08,35.37,40.52,40.59,37.51,,,,,,,,
