WISTLANDPOUND RESERVOIR,,,,,,,,,,,,
Grid ref,SS642416,Long,-3.943295,Lat,51.157491,,,,,,,
Station no,1849/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.33,7.65,5.14,5.82,7.32,6.92,,
February,,,,,4.46,0.72,7.47,5.81,0.51,4.52,,
March,,,,,1.58,2.34,7.44,2.06,5.20,2.70,,
April,,,,,3.90,1.75,0.74,1.96,4.99,4.42,,
May,,,,3.64,5.54,1.72,3.24,5.28,2.33,1.42,,
June,,,,4.83,4.77,2.89,2.19,5.88,3.10,3.38,,
July,,,,9.37,1.61,6.64,6.79,4.44,3.50,11.17,,
August,,,,5.97,0.71,7.59,6.31,7.29,2.17,6.44,,
September,,,,9.78,3.78,6.29,9.05,8.85,0.89,4.80,,
October,,,,10.19,3.56,3.91,9.76,8.11,9.53,8.60,,
November,,,,10.00,4.14,1.81,2.87,4.44,10.47,12.45,,
December,,,,7.12,8.85,8.47,4.94,5.98,13.54,11.43,,
Total,,,,,48.23,51.78,65.94,65.92,63.55,78.25,,
Calc annual,0.00,0.00,0.00,60.90,48.23,51.78,65.94,65.92,63.55,78.25,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,,
