"NEILSTON (FILTERS)",,,,,,,,,,,,
Grid ref,NS475564,Long,-4.432944,Lat,55.776806,,,,,,,
Station no,5281/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.48,3.20,7.54,6.59,1.95,4.76,,
February,,,,,3.53,1.82,2.91,3.13,2.71,4.83,,
March,,,,,2.06,3.12,5.95,1.33,3.07,2.03,,
April,,,,2.39,3.64,2.03,2.99,2.66,4.07,4.94,,
May,,,,3.73,5.32,3.46,2.88,3.66,1.62,2.69,,
June,,,,5.25,3.23,3.11,2.94,3.25,3.93,2.97,,
July,,,,3.97,1.62,4.48,5.98,4.89,6.14,4.70,,
August,,,,6.25,1.42,6.82,5.67,4.50,1.81,3.77,,
September,,,,6.38,5.98,5.81,4.02,6.03,1.47,3.61,,
October,,,,11.21,3.79,5.15,6.78,5.06,7.49,3.24,,
November,,,,8.68,2.48,2.50,2.82,2.16,6.64,7.31,,
December,,,,9.20,8.82,8.25,5.88,6.66,9.80,7.76,,
Total,,,,,45.37,49.75,56.36,49.92,50.70,52.61,,
Calc annual,0.00,0.00,0.00,57.06,45.37,49.75,56.36,49.92,50.70,52.61,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,,
