BIRMINGHAM CALTHORPE ST EDGEBASTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP055857,Long,-1.9203,Lat,52.4696,Elevation,510,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.7,3.1,0.94,1.65,4.08,1.13,3.49,3.08,1.22,3.17,2.43,3.83,2.52,4.64,2.11,,,,,,,,,
February,,,,,,,2.32,1.49,1.02,2.6,0.98,2.99,0.83,0.57,2.02,2.6,2.77,1.78,2.16,2.37,2.29,,,,,,,,,
March,,,,,,,1.36,2.15,1.36,2.23,2.49,3.67,4.64,0.92,3.47,1.43,2.32,3.92,2.23,1.97,1.81,,,,,,,,,
April,,,,,,,2.74,2.66,4.03,2.62,1.29,1.32,2.47,1,1.41,1.33,0.9,2.56,2.08,1.69,0.85,,,,,,,,,
May,,,,,,,3.58,1.43,2.38,1.43,2.59,0.98,3.86,0.65,1.6,3,2.5,1.64,1.56,5.31,1.18,,,,,,,,,
June,,,,,,3.05,2.3,2.19,4.3,3.27,6.58,4.63,2.52,3.96,1.61,2.34,2.94,1.59,0.37,1.21,1.03,,,,,,,,,
July,,,,,,5.2,1.8,2.07,2.94,2.65,1.68,6.24,2.08,0.98,0.83,3.85,1.93,2.66,0.29,0.62,1.68,,,,,,,,,
August,,,,,,1.57,5.93,3.21,3.14,3.58,6.79,1.19,1.85,2.93,0.66,4.47,3.48,3.12,5.39,1.07,1.88,,,,,,,,,
September,,,,,,0.84,3.28,3.71,2.68,2.95,2.43,3.52,4.51,2.86,3.13,0.18,5.14,3.14,2.86,4.47,1.05,,,,,,,,,
October,,,,,,5.44,3.31,2.45,3.37,3.15,2.06,1.93,3.63,3.78,2.75,5.63,2.41,2.74,2.11,1.48,4.86,,,,,,,,,
November,,,,,,1.11,1.52,1.58,0.87,3.35,3.08,2.9,0.85,2.54,2.67,2.31,2.56,1.37,1.87,2.23,2.03,,,,,,,,,
December,,,,,,1.2,2.75,0.71,2.16,2.68,3.91,1.52,2.13,1.48,2.74,1.25,1.93,1.85,6.39,3.96,2.04,,,,,,,,,
Total,,,,,,,34.59,26.75,29.19,32.16,37.96,32.02,32.86,24.75,24.11,31.56,31.31,30.2,29.83,31.02,22.81,,,,,,,,,
