"PENCAITLAND (WINTON CASTLE)",,,,,,,,,,,,
Grid ref,NT438698,Long,-2.900765,Lat,55.917990,,,,,,,
Station no,5103/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,3.10,,
August,,,,,,,,,,4.18,,
September,,,,,,,,,,1.51,,
October,,,,,,,,,,3.03,,
November,,,,,,,,,,2.31,,
December,,,,,,,,,,2.14,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
