COLBY-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG230295,Long,1.3078569,Lat,52.816887,Elevation,50,ft,,,,,,,,,,,,,
Station no,1436,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.46,1.91,1.63,2.51,1.14,0.65,,,,,,,
February,,,,,,,,,1.78,1.34,1.2,2.48,0.97,2.01,,,,,,,
March,,,,,,,,,1.62,0.09,2.34,0.98,2.06,2.18,,,,,,,
April,,,,,,,,,1.72,1.15,1.89,3.86,2.88,1.25,,,,,,,
May,,,,,,,,,1.96,1.07,2.97,4.4,3.7,1.99,,,,,,,
June,,,,,,,,,2.37,1.05,0.65,1.56,0.45,1.74,,,,,,,
July,,,,,,,,,1.76,2.71,5.49,2.78,3.56,1.07,,,,,,,
August,,,,,,,,,1.64,1.26,3.29,3.21,1.24,0.82,,,,,,,
September,,,,,,,,,0.79,0.68,7.05,2.11,2.77,2.19,,,,,,,
October,,,,,,,,,2.84,4.07,1.19,1.42,4.87,3.32,,,,,,,
November,,,,,,,,,3.11,3.45,3.9,1.53,1.5,2.15,,,,,,,
December,,,,,,,,,3.18,4.51,2.03,1.88,0.82,0.7,,,,,,,
Total,,,,,,,,,26.23,23.29,33.63,28.72,25.96,20.07,,,,,,,
