LOCHAN OISINNNEACH MOR,,,,,,,,,,
Grid ref,NO026543,Long,-3.590965,Lat,56.670288,Elevation,1400,ft,,
Station no,5555/13,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.85
February,,,,,,,,,,5.6
March,,,,,,,,,,3.8
April,,,,,,,,,3.65,5.55
May,,,,,,,,,3.65,3.9
June,,,,,,,,,1.85,2.6
July,,,,,,,,,4.6,3.2
August,,,,,,,,,1.8,3
September,,,,,,,,,0.95,3
October,,,,,,,,,4.65,9.3
November,,,,,,,,,6.2,5
December,,,,,,,,,10.5,3.6
Total,,,,,,,,,,53.4
,,,,,,,,,,
Station no,5555/13,,,,,,,,,
Midas,15198,,,,,,,,,
Hyd Stn,871092,,,,,,,,,
