SIBSEY - WRAGG HALL FARM,,,,,,,,,,,,,
Grid ref,TF313539,Long,-0.042,Lat,53.066,Elevation,12,ft,,,,,
Station no,2543/3,,,,,,,,,,,,
,,,,,,,,,,,,,
,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
January,3.19,,,2.33,4.10,2.19,,0.94,0.95,3.33,1.26,,2.32
February,0.48,1.82,,1.10,,1.81,1.95,0.91,0.54,0.48,0.41,,2.68
March,1.56,1.20,2.37,,,,0.38,0.49,2.93,0.36,0.65,,
April,0.92,0.52,,0.40,0.75,1.53,1.11,0.72,1.29,0.95,1.51,,
May,0.53,0.96,1.72,2.87,,,1.12,0.84,0.10,1.86,1.73,,
June,1.50,0.54,0.10,0.91,1.23,1.64,1.92,1.74,2.17,2.93,0.57,,
July,1.84,6.28,3.59,2.61,,1.41,0.97,2.29,2.01,1.27,2.46,,
August,0.89,0.57,3.20,1.36,2.20,2.15,2.31,2.84,0.02,3.47,1.45,,
September,1.12,0.50,0.55,1.01,,3.09,0.99,1.90,1.04,1.99,1.22,,
October,2.91,2.20,2.20,1.76,,2.16,1.70,2.48,0.04,1.39,3.31,,
November,2.65,3.78,2.69,2.60,2.26,3.01,0.97,3.25,0.88,0.99,2.57,2.69,
December,1.51,1.55,0.39,1.50,0.67,0.93,1.86,2.16,1.11,2.85,1.37,0.89,
Total,19.10,,,,,,,20.56,13.08,21.87,18.51,,
,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/118,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/202,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/202,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# There are bracketed estimated readings for a lot of months, which have been omitted:",,,,,,,,,,,,,
# 1940: January,,,,,,,,,,,,,
"# 1941: January, February, April",,,,,,,,,,,,,
# 1942: March,,,,,,,,,,,,,
"# 1943: February, March, May, July, September, October",,,,,,,,,,,,,
"# 1944: March, May",,,,,,,,,,,,,
# 1945: January,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# The gauge moved to Hackerley Bridge Farm in March (?) 1951.,,,,,,,,,,,,,
