ROTHESAY NO 2,,,,,,,,
Grid ref,NS086633,Long,-5.056,Lat,55.825,Elevation,119,ft
Station no,,,,,,,,
,,,,,,,,
,2012,2013,2014,2015,2016,2017,2018,2019
January,,6.51,7.31,7.20,7.92,4.71,7.18,3.06
February,,3.45,8.09,4.31,6.65,6.35,4.33,3.68
March,,1.99,3.47,6.19,2.92,5.44,3.32,5.91
April,,3.43,3.04,2.02,3.14,1.51,3.00,1.28
May,,3.94,6.93,6.17,3.29,1.59,1.64,3.12
June,,3.90,1.49,3.76,1.78,5.40,2.15,3.65
July,,1.39,4.85,6.62,5.27,4.06,3.48,6.44
August,,2.57,4.34,5.05,4.86,4.83,5.00,6.96
September,,3.89,0.51,1.12,5.13,4.28,4.84,6.19
October,,8.98,6.56,4.87,1.73,6.05,5.06,5.74
November,,5.03,4.40,9.07,4.33,4.69,7.31,3.52
December,7.27,7.10,6.84,0.26,4.43,4.51,5.45,8.44
Total,,52.19,57.83,56.65,51.44,53.41,52.78,57.98
