ROTHESAY (DHU LOCH WATER WORKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS071624,Long,-5.080375,Lat,55.816214,Elevation,273,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5381/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,,,,,,,,,,,,,,,,
January,,,,,,4.2,6.59,6.79,3.93,3.25,0.83,8.35,5.04,5.34,3.72,6.31,5.73,7.34,5.3,3.71,5.83,5.94,3.03,5.25,3.69,3.68,6.09,5.92,2.1,3.98,4.01,10.14,0.67,2.78,5.58,3.52,4.61,4.47,4.59,4.67,4.39,5.28,4.73,7.50,8.08,5.76,4.20,5.46,4.59,3.92,6.72,4.69,7.23,7.72,1.90,5.23,,,4.54,7.73,4.20,4.80,9.33,7.26,,,1.52,5.76,7.75,5.10,4.51,7.38,4.37,,,,,,,,,,,,,,,,
February,,,,,,2.57,5.24,2.36,4.97,1.7,4.29,2.3,4.93,1.52,7.19,3.32,0.94,4.59,4.52,4.29,2.56,2.13,1.99,4.27,3.25,1.4,3.5,3.55,1.5,4.3,5.02,3.94,1.32,1.62,0.63,4.09,3.87,2.50,1.75,4.50,3.79,2.78,3.46,5.01,1.37,2.63,5.37,3.92,0.61,4.48,2.87,4.18,1.51,4.74,0.84,0.09,,,5.48,8.12,3.15,6.45,1.63,2.93,,,7.30,4.36,4.73,5.95,2.94,8.25,2.96,,,,,,,,,,,,,,,,
March,,,,,,3.01,1.81,3.21,3.46,4.39,3.14,3.87,2.54,1.36,3,2.41,4.36,3.85,2.65,2.89,3.56,3.94,1.12,3.9,1.44,2.99,5.28,1.1,4.08,3.25,2.53,1.63,6.03,2.26,2.85,4.64,3.91,4.33,0.79,2.45,2.64,3.36,1.98,2.89,1.22,4.91,4.19,6.63,5.20,3.61,6.43,5.03,6.53,1.83,2.98,5.69,,,6.02,5.73,4.97,8.19,4.89,7.56,,,4.10,4.34,3.71,4.19,2.40,5.10,,,,,,,,,,,,,,,,,
April,,,,,,1.82,3.19,0.4,3,2.44,1.61,2.34,4.07,2.66,2.48,1.89,4.96,2.97,5.68,4.11,2.48,2.09,2.1,2.29,5.07,1.9,2.42,1.74,3.67,4.51,5.40,3.32,2.68,3.11,3.85,2.17,2.94,2.02,1.59,4.25,2.50,4.04,1.46,0.29,2.82,1.58,4.22,1.02,3.05,0.66,1.09,1.37,1.85,2.09,3.37,2.65,,,3.37,3.46,5.07,4.12,6.25,4.15,,,2.83,3.61,3.91,1.72,2.82,2.83,,,,,,,,,,,,,,,,,
May,,,,,0.76,3.25,1.64,4.39,1.38,2.05,2.19,3.6,4.05,3.44,3.5,0.69,4.6,1.84,2.78,1.36,2.72,2.11,2.47,3.17,3.55,2.46,2.54,3.45,1.31,2.84,2.18,2.14,5.04,3.03,3.39,3.89,3.54,3.48,2.70,2.01,2.36,5.13,2.92,3.09,0.92,5.76,2.36,0.59,2.61,0.69,4.16,2.56,3.28,0.71,1.57,7.61,,,1.47,2.34,0.70,2.36,3.12,1.29,,,2.11,1.95,4.83,,,3.73,,,,,,,,,,,,,,,,,
June,,,,,4.24,2.25,4.55,7.8,2.81,1.28,2.01,2.55,4.74,3.99,4.3,3.69,3.85,4.82,1.3,2.98,2.66,3.3,1.78,4.33,4.44,3.33,2.8,3.08,3.69,2.88,3.27,2.65,3.22,3.23,3.67,4.70,3.17,1.53,3.33,2.49,2.70,4.00,3.35,2.26,2.53,3.04,1.49,2.35,2.13,5.94,3.68,3.76,3.43,1.89,3.04,2.74,,,3.14,5.10,4.87,1.32,2.92,3.59,,,2.75,4.25,3.52,2.52,4.52,6.78,,,,,,,,,,,,,,,,,
July,,,,,2.47,5.04,5.09,4.69,7.08,3.98,3.47,4.57,3.12,4.16,2.78,4.25,4.3,4.32,2.35,6.33,3.35,3.9,5.86,4.66,1.21,5.16,6.38,6.01,7.29,5.35,4.44,3.12,4.20,3.00,4.26,1.95,3.90,2.55,3.13,3.89,2.74,3.05,2.91,3.29,3.13,2.22,3.15,3.31,3.65,7.96,3.90,2.04,1.61,2.32,8.78,3.41,,,1.49,3.18,3.06,5.43,3.71,3.48,,,2.64,7.03,4.19,,3.81,3.63,,,,,,,,,,,,,,,,,
August,,,,,1.96,3.76,4.16,2.54,1.89,2.37,5.01,5.81,8.1,3.57,1.85,3.32,0.03,7.71,5.55,5.44,4.19,7.19,4.75,5.67,1.48,6.64,5.07,5.8,0.92,4.03,7.70,7.58,2.98,6.34,4.87,2.41,3.34,3.74,1.74,2.67,3.24,2.72,3.39,4.27,4.59,0.75,5.94,4.46,6.26,8.31,2.07,5.74,1.41,2.37,10.13,5.17,,,6.54,4.37,2.85,8.04,2.67,4.73,,1.86,1.91,6.33,2.32,4.06,5.45,2.76,,,,,,,,,,,,,,,,,
September,,,,,6.57,4.11,2.65,4.72,4.58,3.96,2.87,6.11,4.65,5.95,5.88,8.03,4.77,7.24,2.47,10.73,4.29,3.36,6.06,8.11,4.67,4.45,3.93,3.93,1.62,3.46,6.24,6.51,3.28,6.32,7.94,5.13,4.79,6.38,3.22,7.77,2.29,0.78,4.52,6.91,5.80,4.88,6.98,9.54,5.00,8.59,10.81,8.69,6.69,6.56,9.83,2.05,,6.09,3.83,4.21,4.00,5.76,2.46,,,1.79,4.16,3.15,7.33,7.73,2.75,2.42,,,,,,,,,,,,,,,,,
October,,,,,9.01,4.74,3.18,9.02,2.6,7.17,5.15,6.44,8.65,6.41,5.3,0.52,2.25,9.04,8.33,5.99,2.08,5.42,4.04,9.18,3.8,3.13,5.26,4.22,5.98,4.09,7.20,2.66,5.63,4.40,5.26,4.04,7.66,7.46,4.31,7.27,5.25,2.20,1.88,2.98,3.85,6.12,7.98,3.66,7.93,5.88,7.88,6.36,10.13,7.67,2.46,5.97,,6.96,6.37,10.25,6.96,4.08,2.36,,,9.49,4.43,10.39,2.93,9.43,,7.20,,,,,,,,,,,,,,,,,
