ROTHESAY NO 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NaN,Long,NaN,Lat,NaN,Elevation,NaN,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
January,4.96,10.93,0.75,2.87,6.43,3.39,5.26,5.39,4.73,4.31,4.72,5.78,5.46,8.9,9.9,6.73,4.28,5.92,4.06,3.92,6.99,4.94,7.87,8.68,1.87,5.96,2.81,7.39,5.35,7.77,4.35,5.02,11.22,8.16,7.69,3.77,1.43,5.79,8.65,5.6,4.17,8.11,4.38,9.8,7.28,4.38,8.72,9.41,6.26,2.72,4.61,7.2
February,6.08,4.78,1.3,1.68,0.74,4.71,5.11,2.93,1.97,5.43,4.34,3.39,4.5,5.43,1.54,3.03,5.21,3.55,0.87,4.31,3.33,3.67,1.64,5.09,0.7,0.09,3.66,5.33,6.51,9.07,3.04,6.5,1.73,3.03,7.31,6.91,8.24,5.05,5.81,6.58,2.39,9.45,2.69,2.74,2.59,2.78,4.36,4.63,2.11,2.69,6.97,4.38
March,3.06,1.94,5.98,2.69,3.1,5.85,5.02,5.53,1.01,2.78,3.18,3.66,2.3,3,1.42,5.12,4.61,7.59,5.56,3.56,6.6,5.63,6.96,2.15,2.95,7.34,6.26,7.55,6.59,7.38,4.74,7.79,5.27,8.69,6.45,0.99,4.65,4.23,4.22,4.22,2.36,5.28,2.64,3.16,3.41,5.57,4.79,7.64,5.37,3.98,3.69,1.74
April,5.58,3.69,3.1,3.42,4.46,2.39,3.51,1.93,1.98,4.64,2.41,4.78,1.63,0.29,3.03,1.94,4.21,1.1,3.07,0.68,1.06,1.49,1.93,2.3,3.4,2.66,2.44,3.01,2.94,3.62,5.05,4.52,6.44,4.49,1.82,5.35,3.13,3.67,4,1.65,2.56,3.11,1.68,4.54,4.96,4.12,2.55,3.52,4.35,3.49,2.39,3.7
May,2.26,2.37,5.08,3.28,3.43,5.02,3.58,3.3,2.57,2.63,2.35,5.14,3.41,3.04,0.98,6.13,2.5,0.51,2.41,0.67,3.92,2.8,3.28,0.86,1.71,8.22,3.07,2.25,1.66,1.95,0.72,2.57,2.91,1.3,2.07,2.98,1.77,1.7,4.4,1.72,1.25,3.72,5.62,2.06,4.69,4.61,3.31,1.72,5.69,1.19,7.61,2.13
June,3.79,2.71,3.14,3.47,4.29,4.32,3.51,1.67,3.81,2.65,2.94,4.33,4,2.33,2.61,3.14,1.61,2.23,2.15,5.51,3.69,3.3,3.12,1.81,2.69,2.69,3.67,0.99,3.13,5.22,4.75,1.66,2.96,3.7,1.71,2.26,2.13,3.75,3.47,2.49,4,7.23,3.19,4.77,4.56,3.39,4.1,5.35,1.89,1.2,4.7,5.42
July,4.59,3.39,4.61,3.42,4.6,2.16,4.57,2.61,3.8,4.06,2.41,3.07,2.77,3.92,3.52,2.62,3.12,3.61,3.71,7.34,4.04,2,1.24,2.51,9.26,3.61,3.54,7.07,1.56,3.11,3.33,5.3,3.58,3.98,4.11,3.2,2.72,6.84,4.01,2.53,3.64,3.66,4.54,3.24,1.35,2.89,3.09,6.35,5.01,6.07,2.68,4.7
August,7.86,8.13,3.36,5.93,5.37,2.46,3.43,4.22,1.86,3.05,3.91,2.75,3.76,4.67,4.2,0.9,5.65,4.62,6.82,7.7,2.2,5.98,1.43,2.6,11.02,5.57,5.2,6.46,6.97,3.84,2.85,8.41,2.5,4.58,1.21,1.83,1.78,6.74,2.45,5.04,4.71,3,1.93,8.09,6.87,4.11,5.12,5.78,11.73,3.89,6.49,4.72
September,6.75,6.91,4.5,6.94,7.67,6.17,5.58,7.18,3.6,8.05,2.51,1.07,4.54,6.5,6.45,5.15,8.27,10.23,5.22,9.4,11.15,9.12,6.58,6.87,10.11,2.39,5.94,6.38,3.67,4.47,4.44,6.06,2.29,2.76,3.42,2.36,4.34,3.06,7.03,8.06,2.6,2.11,3.05,6.54,5.15,6.66,3.44,6.93,4,7.02,7.98,5.43
October,7.62,3.19,5.84,4.85,5.7,3.94,9.56,8.92,5.28,8.27,6.09,2.5,2.16,3.51,4,5.54,7.61,3.92,7.57,5.91,8.59,5.98,11.08,7.99,2.64,6.66,6.89,6.57,6.32,9.61,6.65,,2.56,3.26,9.95,9.54,4.6,10.63,2.96,9.7,6.85,7.16,2.76,6.36,6.01,5.41,3.58,8.52,6.74,6.63,11.56,7.04
November,5.1,4.55,6.35,5.98,3.1,6.39,5.43,4.58,6.94,7.65,4.83,6.34,6.14,7.64,6.58,6.31,7.05,6.83,8.78,6.17,6.95,9.31,1.96,6.82,4.97,8.46,4.15,3.8,2.04,2.94,8.5,,4.25,5.9,3.58,6.59,3.68,6.17,6.96,4.49,4.82,6.67,7.56,4.46,3.87,11.24,5.45,4.41,11.5,6.1,6.53,5.37
December,3.78,6.49,1.9,5.19,6.75,8.78,4.44,2.11,5.02,2.42,3.24,5.52,8.13,8.7,2.98,5.22,3.07,4.91,7.96,9.41,1.98,6.88,6.41,6.13,5.71,11.33,5.48,5.46,3.85,6.04,6.35,4.75,8.35,9.04,1.41,3.21,6.39,6.47,11.72,8.17,3.57,2.74,6.02,6.38,3.27,9.41,4.23,5.89,3.48,2.12,11.49,6.65
Total,61.43,59.08,45.91,49.72,55.65,55.59,58.99,50.35,42.57,55.94,42.91,48.33,48.8,57.92,47.22,51.83,57.19,55.03,58.18,64.58,60.5,61.11,53.49,53.81,57.04,64.98,53.11,62.25,50.61,65.03,54.76,,54.05,58.88,50.75,49.01,44.86,64.1,65.67,60.26,42.91,62.25,46.03,62.13,53.99,64.56,52.74,70.16,68.13,47.09,76.71,58.48
