ROTHESAY  GLENBURN HYDROPATHIC,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 095 650,Long,-5.042593,Lat,55.840979,Elevation,95,ft,,,,,,,,,,,,
Station no,RR1513,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,4.4,5.27,3.71,5.38,5.05,5.61,3.88,6.03,6.81,4.75,,,,,
February,,,,,,4.64,5.3,3.57,4.59,2.51,7.03,7.53,4.58,3.27,7.17,,,,,
March,,,,,,5.24,4.04,5.55,6.05,2.45,2.54,2.08,6.11,5.43,5.83,,,,,
April,,,,,,3.5,2.46,3.42,2.11,5.69,4.24,3.96,2.36,4.45,3.05,,,,,
May,,,,,,2.33,5.67,5.32,2.72,3.18,3.08,3.59,2.83,4.02,1.68,,,,,
June,,,,,,1.48,1.87,4.85,3.73,3.16,3.01,2.77,7.04,3.37,1.17,,,,,
July,,,,,,3.42,3.24,3.54,3.95,5.38,5.03,4.24,3.39,1.71,2.37,,,,,
August,,,,,,5.82,5.56,6.45,4.15,3.45,8.9,4.44,3.78,2.14,5.91,,,,,
September,,,,,,3.87,3.56,2.67,8.45,2.54,2.26,3,3.7,2.59,3.49,,,,,
October,,,,,,4.43,7.78,6.32,2.2,7.07,2.75,4.34,5.3,3.36,3.07,,,,,
November,,,,,,5.48,5.68,5.58,5.22,3,4.1,6.83,5.79,7.19,5.81,,,,,
December,,,,,,3.96,5.24,7.56,7.13,6.17,5.39,9.05,8.93,5.08,7.48,,,,,
Total,,,,,,48.57,55.67,58.54,55.68,49.65,53.94,55.71,59.84,49.42,51.78,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved from Barone Cottage 1904,,,,,,,,,,,,,,,,,,,,
Gauge moved to Ardencraig Dec 1914,,,,,,,,,,,,,,,,,,,,
