ETTRICK BAY,,,,,,,,
Grid ref,NS041661,Long,-5.1301861,Lat,55.848867,Elevation,20,ft
Station no,,,,,,,,
,,,,,,,,
,2014,2015,2016,2017,2018,2019,,
January,,7.10,7.43,5.69,7.58,3.14,,
February,,3.94,7.09,5.91,4.14,3.18,,
March,,5.96,2.87,4.82,3.07,5.46,,
April,2.57,2.06,3.72,1.67,2.86,1.11,,
May,5.73,7.17,3.00,2.14,1.48,2.57,,
June,1.43,3.41,2.64,4.97,2.03,3.57,,
July,4.21,5.61,5.57,4.03,2.95,7.43,,
August,4.61,5.46,5.40,5.02,5.24,7.46,,
September,0.77,1.11,6.01,5.04,4.52,5.39,,
October,7.02,3.66,1.85,7.08,4.01,5.61,,
November,4.25,9.80,4.63,4.65,5.54,3.61,,
December,7.06,8.04,4.96,4.43,5.64,8.69,,
Total,37.65,63.32,55.17,55.44,49.07,57.22,,
