1 MI FROM EDINBURGH,,,,,,,,,,,,,,,,,,,,
Grid ref,NT259728,Long,-3.187925,Lat,55.94251,Elevation,250,ft,,,,,,,,,,,,
Station no,RR502,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,,,,,1.5,1.8,0.11,1.03,4.75,1.96,2.25,1.73,1.53,1.4,2.73,,,,
February,,,,,,2.31,1.03,1.08,1.98,1.02,1.75,2.25,1.47,2.25,2.15,3.88,,,,
March,,,,,,0.43,0.37,2.19,1.82,1.3,0.85,0.71,2.88,3.02,0.99,1.37,,,,
April,,,,,,0.44,0.04,1.48,1.92,1.1,2.53,2.89,1.57,1.25,2.15,2.11,,,,
May,,,,,,0.94,0.43,4.73,0.86,1.1,2.49,1.89,3.21,1.05,1.91,1.2,,,,
June,,,,,,1.11,0.15,3.22,2.13,1.15,2.9,2.53,4.66,1.48,1.07,3.92,,,,
July,,,,,,1.44,0.17,4.79,2.63,2.63,1.86,1.38,4.55,1.14,2.12,2.52,,,,
August,,,,,,3.24,1.4,2.03,1.17,1.63,3.27,3.31,3,2.5,1.84,3.62,,,,
September,,,,,,10.72,0.98,0.6,3.27,2.04,2.67,1.37,3.29,0.51,3.14,1.12,,,,
October,,,,,,2.46,0.87,2.17,0.41,3.37,2.12,3.96,4.34,1.52,3.53,4.87,,,,
November,,,,,,4.71,0.58,1.11,1.02,5.23,2.51,3.32,2.5,2.06,4.51,4.58,,,,
December,,,,,,1.33,,8.42,1.18,4,2.61,1.11,4.13,2.38,3.92,3.81,,,,
Total,,,,,,30.63,,31.93,19.42,29.32,27.52,26.97,37.33,20.69,28.73,35.73,,,,
,,,,,,,,,,,,,,,,,,,,
Only hint at location 250',,,,,,,,,,,,,,,,,,,,
"a ""? By Dr John Playfair"" noted below 1790s record.",,,,,,,,,,,,,,,,,,,,
He was at the Univ Edinburgh from 1785 and moved from 6 Buccleugh Place in 1807 - this is 250' elevation and about 1 mile from Prince's St ,,,,,,,,,,,,,,,,,,,,
NGR for Buccleugh Place,,,,,,,,,,,,,,,,,,,,
