STOCKBRIDGE-ASHLEY-OLD-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU382308,Long,-1.45513,Lat,51.07527,Elevation,235,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,6.77,0.88,1.64,1.02,3,1.18,4.34,4.66,0.52,4.34,1.17,1.39,3.75,4.82,3.84,3.16,5.05,1.66,3.49,,,,,,
February,,,,,,,3.23,1.72,1.17,0.4,4.52,1.57,2.88,1.07,5,6.45,6.01,0.97,1.63,2.61,0.92,0.27,2.82,5.57,0.52,,,,,,
March,,,,,,,1.35,0.85,3.85,4.11,0.89,2.48,4.93,3.32,4.68,1.03,3.42,2.9,1.03,5.85,2.49,1.33,2.56,,1.65,,,,,,
April,,,,,,,0.91,3.61,3.25,1.68,2.95,1.82,0.02,3,1.31,1.22,0.49,2.4,3.04,2.12,3.79,1.37,4.21,,3.43,,,,,,
May,,,,,,,2.23,2.05,2.08,2.06,1.81,1.95,1.41,2.25,1.25,4.22,1.27,1.78,1.66,0.47,1.11,1.64,0.85,,5.02,,,,,,
June,,,,,,4.4,3.4,1.18,0.6,4.53,2.93,1.98,4.61,0.33,0.26,1.42,1.86,4.86,0.99,0.93,2.41,0.11,1.79,,2.2,,,,,,
July,,,,,,0.27,0.4,1.44,1.51,3,1.83,0.1,1.95,1.45,2.65,4.59,1.43,4.59,6.19,1.73,5.51,0.68,3.57,,4.47,,,,,,
August,,,,,,3.39,1.19,2.12,4.2,2.52,1.89,0.45,7.05,1.04,2.79,1.45,3.82,5.64,1.89,3.15,1.61,1.48,3.3,,,,,,,,
September,,,,,,1.87,1.13,0.42,1.98,3.45,0.16,1.25,2.32,2.46,1.04,3.16,2.09,2.28,5.17,2.45,1.31,0.94,1.75,,3.83,,,,,,
October,,,,,,1.97,6.08,7.79,1.15,7.66,4.13,2.64,3.45,5.2,2.32,3.83,6.3,4.32,1.82,0.97,3.48,0.98,1.49,,4.6,,,,,,
November,,,,,,3.66,4.16,2.99,1.05,0.62,3.51,4.08,1.97,3.01,4.57,2.63,5.18,0.88,3.31,2,2.03,1.86,1.95,,3.54,,,,,,
December,,,,,,0.86,1.96,4.52,4,3.92,5.28,8.94,5.04,1.88,8.53,7.46,4.35,1.48,2.82,6.26,3.01,1.49,4.15,,,,,,,,
Total,,,,,,,32.81,29.57,26.48,34.97,32.9,28.44,39.97,29.67,34.92,41.8,37.39,33.49,33.3,33.36,31.51,15.31,33.49,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Dec New gauge erected 11ft N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Jan 1 Gauge moved 6 or 7 ft W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 June 7 Inspection V good exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Observer gone away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
