LYME-REGIS-HIGHCLIFF-(HOLME-CLEVE),,,,,,,,,,
Grid ref,SY335919,Long,-2.94339,Lat,50.72291,Elevation,230,ft,,
Station no,RR6711,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.38,1.17,4.67,6.25,0.74,3.74,,,,
February,3.77,1.96,3.39,0.87,3.89,5.01,,,,
March,0.64,2.71,5.21,2.8,5.37,0.86,,,,
April,1.87,2.12,0.14,2.93,1.34,0.85,,,,
May,2.63,0.67,1.7,1.99,1.52,2.19,,,,
June,2.06,1.88,3.77,0.47,2.01,1.3,,,,
July,2.98,0.17,2.21,0.22,5.12,3.99,,,,
August,3.82,0.4,6.81,1.77,2.55,1.4,,,,
September,0.15,1.17,1.22,3.66,2.93,1.55,,,,
October,4.58,3.65,4.13,3.75,3.29,6.55,,,,
November,4.32,4.11,1.45,3,3.99,3.32,,,,
December,4.76,7.21,5.47,1.91,7.28,8.07,,,,
Total,34.96,27.22,40.17,29.62,40.03,38.83,,,,
,,,,,,,,,,
Holme Cleve Sidmouth Road,,,,,,,,,,
Directly opposite Highcliff the gauge must have been at the bottom of the slope by the glasshouses to match the elevation 100ft lower than Highcliff,,,,,,,,,,
Distance between gauges about 150yds,,,,,,,,,,
1909 BR has no entry for this location,,,,,,,,,,
