SIPSON,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ071779,Long,-0.45879146,Lat,51.489915,Elevation,95,ft.,,,,,,,,,,,,
Station no,838/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.48,0.91,4.04,4,2.41,4.55,2.59,2.86,3,4.53,1.61,1.58,1.57,,,,
February,,,,0.18,2.3,1.73,4.42,0.29,0.81,1.84,2.24,0.96,1.34,0.99,1.76,2.68,,,,
March,,,,2.31,0.38,1.17,2.9,0.23,1.05,3.01,3.18,1.55,0.39,0.22,0.65,1.36,,,,
April,,,,1.52,2.76,1.53,2.04,0.05,2.41,1.89,1.65,1.05,0.72,1.33,1.11,,,,,
May,,,,0.62,0.88,0.6,2.84,1.52,1.43,1.75,1.98,2.57,2.24,0.65,2.01,,,,,
June,,,,0.91,3.09,2.97,2.02,0.33,1.32,0.73,1.94,0.36,1.37,1.5,2.11,,,,,
July,,,,2.87,1.28,2.72,1.7,0.83,2.38,2.28,2.86,1.28,3.1,1.64,3.33,,,,,
August,,,,2.31,1.31,0.47,1.93,1.97,2.7,0.05,4.96,2.15,1.38,2.33,1.23,,,,,
September,,,,1.5,3.23,4.5,2.62,1.7,1.1,1.33,0.37,0.87,1.55,2.32,1.72,,,,,
October,,,,1.29,2.52,1.69,2.55,2.26,5.17,2.57,0.97,3.3,2.94,3.29,2.95,,,,,
November,,,,1.8,4.34,2.89,1.32,3.2,4.44,6.56,2.81,1.92,1.33,3.84,0.26,,,,,
December,,,,4.66,2.43,1.75,3.31,3.04,1.05,1.09,1.72,2.78,1.26,1.47,3.06,,,,,
Total,,,,21.45,25.43,26.06,31.65,17.83,28.41,25.69,27.54,21.79,22.15,21.19,21.77,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the centre of the village of Sipson. Altitudes match.,,,,,,,,,,,,,,,,,,,,
Relationship to station suggests gauge could be up to 1km SE but altitudes do not match.,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 1km,,,,,,,,,,,,,,,,,,,,
