"PATESHILL RESERVOIR",,,,,,,,,,,,
Grid ref,NS990592,Long,-3.613354,Lat,55.815461,,,,,,,
Station no,5125/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.91,3.26,1.38,3.79,,
February,,,,,,,3.19,2.54,1.66,3.35,,
March,,,,,,,3.74,1.87,1.86,2.04,,
April,,,,,,,2.32,2.01,3.02,2.44,,
May,,,,,,,2.06,4.20,1.55,1.57,,
June,,,,,,,3.07,3.05,3.22,1.72,,
July,,,,,,,4.27,6.56,4.76,2.92,,
August,,,,,,,6.51,4.28,1.04,3.30,,
September,,,,,,,2.95,5.11,0.94,2.23,,
October,,,,,,,4.46,2.47,4.49,3.18,,
November,,,,,,,2.03,1.96,7.25,4.51,,
December,,,,,,,5.00,6.05,4.53,5.10,,
Total,,,,,,,44.51,43.36,35.70,36.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,44.51,43.36,35.70,36.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
