PATESHILL RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS990593,Long,-3.613392,Lat,55.816359,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5125/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.46,0.89,3.97,3.23,4.59,2.2,3.2,3.13,6.31,3.88,2.53,4.03,2.38,1.49,3.04,2.07,1.44,4.06,2.52,1.07,2.4
February,,,,,,,,,,1.08,2.32,1.6,3.15,1.4,6.51,2.56,1.12,3.78,3.87,4.14,2.72,0.85,1.43,1.86,1.18,1.38,2.3,1.86,1.1,2.28
March,,,,,,,,,,3.53,2.83,1.42,2.45,0.5,2.93,2.41,3.88,2.73,1.85,3.81,3.28,1.09,0.72,1.68,1.1,1.4,2.77,1.51,1.54,1.61
April,,,,,,,,,,2.64,1.54,2.1,1.92,2.59,1.69,1.07,5.31,2.85,2.75,3.68,3.54,1.83,2.26,0.79,1.26,0.61,1.76,1.6,2.35,1.49
May,,,,,,,,,,2.54,6.35,2.24,4.1,2.63,4.93,1.76,3.39,1.81,1.78,1.8,2.62,1.75,2.09,4.25,2.77,1.39,1.67,3.48,1.33,1.08
June,,,,,,,,,,1.28,0.75,1.03,3.11,3.59,3.38,3.5,2.96,5.11,1.27,3.27,2.09,2.3,1.69,2.54,1.79,3.01,2.67,2.57,2.66,1.21
July,,,,,,,,,,6.95,4.25,3.86,2.46,2.45,3.18,4.02,4.13,3.36,2.08,4.67,3.46,2.2,5.38,3.16,1.5,4.23,3.28,5.79,4.01,1.97
August,,,,,,,,,,1.44,5.35,4.18,4.45,4.14,3.66,3.01,0.02,8,3.5,4.18,5.57,3.61,2.4,4.68,1.49,4.67,5.09,3.78,0.78,2.92
September,,,,,,,,,,4.1,1.1,4.51,2.66,4.43,6.56,6.4,3,5.02,2.13,8.56,2.82,2.13,2.29,4.53,2.75,3,2.28,4.26,0.78,1.72
October,,,,,,,,,,3.72,3.86,4.5,5.65,4.22,4.97,0.73,1.67,4.08,5.29,3.47,1.28,2.41,1.99,7.55,2.37,2.22,3.17,2,3.45,2.22
November,,,,,,,,,,5.53,2.42,0.85,2.06,7.72,0.55,5.38,6.08,3.6,4.42,4.12,5.54,2.45,6.21,5,1.25,1.03,1.53,1.69,5.42,3.06
December,,,,,,,,,,3.68,2.36,3.37,1.78,3.95,3.37,3.4,2.96,4.69,7.38,1.96,4.19,3.03,3.61,4.63,5.32,3.99,4.15,4.75,3.52,3.37
Total,,,,,,,,,,37.95,34.02,33.63,37.02,42.21,43.93,37.44,37.65,51.34,40.2,46.19,41.14,26.03,31.56,43.71,24.85,28.37,34.73,35.81,28.01,25.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15681,PATESHILL RESR ,1940-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
