HATFIELD-ROE-GREEN,,,,,,,,,,
Grid ref,TL214073,Long,-0.2427435,Lat,51.751248,Elevation,267,ft,,
Station no,926/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,0.9,3.02,4.15,1.02,2.48,2.49,2.26
February,,,,2.59,1.93,0.36,2.88,2.61,0.07,2.02
March,,,,2.1,1.23,1.12,1.13,1.28,2.26,1.62
April,,,,0.38,0.45,1.1,0.22,1.14,2.5,0.63
May,,,,1.21,5.05,0.57,0.92,2.36,1.6,2.18
June,,,,4.32,2.03,2.06,1.39,4.23,0.89,1.64
July,,,,3.28,0.38,2.5,2.36,1.59,2.7,2.84
August,,,,3.08,1.08,4.91,1.85,3.21,1.28,3.44
September,,,,2.16,1.43,2.22,2.98,3.03,0.07,3.54
October,,,2.76,1.84,3.73,1.93,1.71,2.1,1.97,5.6
November,,,1.58,4.97,1.81,0.54,2.13,2.23,2.1,4.15
December,,,0.49,1.57,2.15,3.85,2.08,3.1,4.39,3.29
Total,,,,28.4,24.29,25.31,20.67,29.36,22.32,33.21
