LAMMERMUIR HILLS (LAMMERLOCH RESERVOIR) - NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT515634,Long,-2.776431,Lat,55.861331,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.3,4.83,0.93,2.58,2.02,2.36,3,1.45,1.14,4.84,3.51,3.07,5.62,0.95,2.44,3.79,2.99,1.97,4.77,2,3.4,5.75,1.31,0.59
February,,,,,,,,0.95,1.66,0.64,1.8,1.84,1.47,2.07,0.09,1.86,2.87,3.99,1.7,1.96,1.52,3.18,2.34,1.27,1.6,3.22,0.82,1.14,2.04,0.92,3.2
March,,,,,,,,2.9,2.9,0.26,2.31,1.67,3.09,0.86,4.44,1.04,3.63,4.43,0.5,3.62,3.22,2.53,1.01,1.1,0.58,0.68,2.27,4.21,1.04,1.56,1.94
April,,,,,,,,1.14,1.23,0.89,2.36,3.1,1.64,1.65,3.74,3.56,2.24,1,0.18,1.03,2.25,1.3,1.29,1.06,1.69,1.46,0.52,3.41,1.67,1.14,2.14
May,,,,,,,,1.77,1.54,2.14,1.22,2.03,2.57,1.22,2.96,1.19,1.08,3.49,4.02,1.19,2,2.72,2.21,4.19,2.94,4.23,1.72,3.17,1.59,1.63,0.69
June,,,,,,,,2.05,4.42,2.75,1.35,4.17,0.95,1.87,2.61,2.49,2.46,1.14,4.7,3.47,0.55,1.37,1.31,2.32,2.23,2.14,1.54,2.45,3.48,0.99,1.43
July,,,,,,,,2.34,1.33,2.24,4.95,2.86,3.46,3.55,2.12,1.09,5.02,3.77,2.46,2.62,9.43,2.42,4.39,3.28,2.12,2.06,3.01,1.97,1.86,2.29,2.28
August,,,,,,,,6.17,6.31,5.39,6.73,7.8,0.4,0.53,2.23,2.66,1.97,4.9,1.97,1.94,1.07,4.21,2.32,3.71,2.87,4.21,5.24,0.15,11.59,2.73,2.94
September,,,,,,,,7.82,2.21,0.3,4.43,2.13,1.99,2.55,2.92,2.38,4.24,1.89,3.12,2.42,3.02,0.79,1.7,1.72,5.03,2.55,3.33,1.17,2.6,1.4,5.21
October,,,,,,,,3.18,4.32,3.18,4.44,1.42,7.7,3.15,2.32,6.89,1.95,3.95,5.63,5.28,3.49,3.37,2.43,2.98,2.71,2.85,0.48,0.74,2.04,3.58,1.88
November,,,,,,,,3.56,3.63,4.04,3.13,1.5,1.25,3.11,4.43,3.78,3.51,1.02,4.3,3.8,4.95,4.48,0.82,1.09,7.59,0.4,5.87,2.88,1.76,4.12,2.8
December,,,,,,,,3.22,2.19,5.64,3.1,1.02,2.68,2.25,5.17,2.9,2.39,5.66,4.02,1.37,2.72,0.71,2.05,1.03,3.21,2.91,2.99,1.78,2.17,2.94,2.36
Total,,,,,,,,37.4,36.57,28.4,38.4,31.56,29.56,25.81,34.48,30.98,36.2,38.75,35.67,34.32,35.17,29.52,25.66,26.74,34.54,31.48,29.79,26.47,37.59,24.61,27.46
