LAMMERMUIR HILLS (LAMMERLOCH RES) - old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT515634,Long,-2.776431,Lat,55.861331,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,0.53,1.86,0.37,1.41,1.53,1.97,0.93,2.34,2.06,2.25,1.61,2.2,2.04,1.79,4.8,,,,1.52,1.6,2.76,2.7,2,,,
February,,,,,,0.99,1.34,0.92,1.7,1.26,2.8,1.18,1.96,1.14,1.93,2.29,3.23,0.71,2.75,0.93,,,,3.32,0.8,3.98,1.42,0.58,,,
March,,,,,,2.28,1.83,1.29,2.62,2.85,1.48,1.82,2.22,2.04,2.67,1.43,4.06,0.73,0.99,3.42,,,,2.5,0.45,3.57,1.1,2.45,,,
April,,,,,,2.09,1.04,1.13,1.5,3.75,2.96,1.61,0.61,1.7,1.19,0.65,3.18,1.95,1.04,1.56,,,,1.65,0.5,2.3,2.24,1.04,,,
May,,,,,,0.62,4.38,2.41,2.37,3.19,1.11,1.07,1.52,4.02,1.7,1.04,3.74,1.3,2.02,1.57,,,,2.3,4.81,3.4,3.15,1.57,,,
June,,,,,3.33,0.64,2.09,2.83,1.11,1.02,1.97,4.9,4.31,2.11,2.93,0.79,3.05,2.15,1.27,0.83,,,,0.98,1.5,1.3,3.24,1.87,,,
July,,,,,1.76,3.2,0.68,3.14,3.44,3.86,4.45,0.97,1.24,0.9,2.12,7.38,6.86,0.85,3.29,0.76,,,,1.02,4.35,1.85,3.47,2.13,,,
August,,,,,3.83,1.43,6.96,2.74,2.14,1.39,3.67,0.75,4.57,0.64,2.01,2.33,3.68,3.82,1.85,2.01,,,,2.17,4.2,3.22,1.4,5.48,,,
September,,,,,0.76,1.93,0.78,1.3,3.52,2.53,2.01,0.8,1.04,3.46,1.4,2.04,2.58,4.52,3.79,2.1,,,,1.92,3.41,4.54,3.49,7.28,,,
October,,,,,1.41,4.37,3.69,5.51,1.54,4.24,3.58,3.09,3.91,1.75,2.01,3.9,3.98,2.29,3.73,2.26,,,,3.1,3.6,2.83,4.06,2.71,,,
November,,,,,0.99,3.68,5.59,2.55,1.6,0.2,2.81,5.19,2.65,2.79,2.5,1.49,4.02,1.71,1.2,7.8,,,,4.33,4.5,0.95,3.05,2.74,,,
December,,,,,1.52,1.65,1.04,2.8,0.43,1.59,2,4.25,2.04,0.84,4.94,4.6,2.6,1.92,0.94,3.29,,,,4.1,3.89,2.67,,1.87,,,
Total,,,,,,23.41,31.28,26.99,23.38,27.41,30.81,26.56,28.41,23.45,27.65,29.55,43.18,23.99,24.66,31.33,,,,28.91,33.61,33.37,,31.72,,,
