"NORTH UIST (LOCHMADDY)",,,,,,,,,,,,
Grid ref,NF922696,Long,-7.156038,Lat,57.610983,,,,,,,
Station no,5765/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,5.59,6.56,6.26,3.48,,
February,,,,,,,3.70,3.08,1.69,2.52,,
March,,,,,,,4.63,1.71,3.23,1.97,,
April,,,,,,,2.01,2.18,5.24,3.13,,
May,,,,,,,2.10,4.43,1.12,2.57,,
June,,,,,,,2.38,2.03,3.38,2.52,,
July,,,,,,,2.26,0.92,4.68,3.97,,
August,,,,,,5.49,4.33,3.74,2.93,3.39,,
September,,,,,,4.70,3.20,3.35,2.76,3.61,,
October,,,,,,5.43,6.17,4.94,6.51,1.96,,
November,,,,,,5.91,2.82,3.27,6.62,4.61,,
December,,,,,,4.38,5.97,3.95,6.74,6.85,,
Total,,,,,,,45.16,40.16,51.16,40.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.91,45.16,40.16,51.16,40.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,,
