CHOLMONDELEY-ESTATE-OFFICE,,,,,,,,,,
Grid ref,SJ547509,Long,-2.6772774,Lat,53.053425,Elevation,300,ft.,,
Station no,2762/3,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.01,3.17,5.09,2.12
February,,,,,,,3.83,0.43,2.28,2.4
March,,,,,,,1.95,0.74,1.99,2.48
April,,,,,,,3.1,0.13,2.04,2.39
May,,,,,,,2.61,1.85,1.76,1.81
June,,,,,,,1.65,2.31,1.89,1.04
July,,,,,,,2.09,3.15,7.45,
August,,,,,,,1.92,3.01,1.72,
September,,,,,,5.53,1.85,1.25,0.96,
October,,,,,,1.97,2.64,3.32,2.89,
November,,,,,,2.72,1.45,3.67,4.56,
December,,,,,,3.01,3.96,3.27,1.51,
Total,,,,,,,30.06,26.3,34.14,
,,,,,,,,,,
MIDAS src_id 11782 CHOLMONDELEY Start 1936 end 1971,,,,,,,,,,
NGR is 700 yard NW of the school; the gauge moved 700 yards SE on 5 July 1940. Altitudes match.,,,,,,,,,,
