"CHOLMONDELEY SCHOOL",,,,,,,,,,,,
Grid ref,SJ553505,Long,-2.668271,Lat,53.049881,,,,,,,
Station no,2762/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.14,3.08,0.99,2.04,2.10,4.00,1.38,2.68,3.05,5.05,,
February,2.03,1.01,1.55,2.59,1.89,0.39,2.45,4.85,0.34,2.37,,
March,4.15,1.24,0.85,1.84,2.41,1.21,2.35,1.20,1.51,1.43,,
April,1.66,2.33,2.98,0.38,1.83,2.32,0.42,0.59,3.51,1.36,,
May,2.99,2.57,1.75,1.81,3.13,0.60,1.50,2.03,2.13,2.02,,
June,1.24,1.66,1.75,3.71,3.28,2.03,1.64,4.52,2.31,2.05,,
July,2.03,1.52,3.10,3.65,0.55,2.67,5.92,3.57,2.02,2.87,,
August,2.69,1.17,2.40,4.39,1.15,7.17,6.04,2.34,1.08,4.14,,
September,1.76,2.35,2.92,2.58,2.90,2.37,6.50,6.45,0.20,4.17,,
October,1.05,4.78,1.85,5.03,1.83,2.59,2.02,2.57,2.33,4.63,,
November,6.15,2.03,1.64,5.18,1.67,0.95,1.76,2.22,3.57,3.99,,
December,3.48,3.21,1.35,3.09,2.95,2.57,1.15,3.03,5.46,2.02,,
Total,31.37,26.95,23.13,36.29,25.69,28.87,33.13,36.05,27.51,36.10,,
Calc annual,31.37,26.95,23.13,36.29,25.69,28.87,33.13,36.05,27.51,36.10,,
Difference,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
