WEST KILBRIDE (HUNTERSTON),,,,,,,,,,
Grid ref,NS184513,Long,-4.892894,Lat,55.72099,Elevation,27,ft,,
Station no,5215/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.27,3.1
February,,,,,,,,,1.89,3.4
March,,,,,,,,1.15,2.82,2.33
April,,,,,,,,1.63,4.16,4.12
May,,,,,,,,3.02,1.2,2.44
June,,,,,,,,2.54,3.6,2.48
July,,,,,,,,4.86,4.8,4.58
August,,,,,,,,4.63,0.7,3.83
September,,,,,,,,3.89,1.55,3.84
October,,,,,,,,3.12,5.63,3.51
November,,,,,,,,2.18,4.58,6.15
December,,,,,,,,7.49,6.88,4.73
Total,,,,,,,,,40.08,44.51
,,,,,,,,,,
1958 J F Est Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5215/1,,,,,,,,,
Midas,13484,,,,,,,,,
Hyd stn,648873,,,,,,,,,
