CASTLETON - ELLERSTANG,,,,,,,,,,,,,,,,,
Grid ref,NZ691081,Long,-0.935,Lat,54.464,Elevation,425,ft,,,,,,,,,
Station no,3473,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
January,2.23,4.98,3.51,4.39,3.52,2.11,3.60,2.48,3.99,5.40,6.01,4.17,5.68,1.33,3.74,4.95,5.18
February,1.61,1.58,1.28,1.85,2.53,1.94,5.03,1.97,4.06,3.90,4.04,1.98,1.60,2.30,4.96,2.04,1.10
March,2.57,3.57,0.29,3.20,2.20,2.66,1.97,3.28,0.76,1.48,4.68,0.18,3.96,2.12,3.19,0.99,0.49
April,2.62,1.75,1.15,4.77,4.90,1.65,0.84,3.78,3.59,2.10,3.27,0.44,1.54,2.55,1.64,1.73,1.14
May,1.91,2.36,1.29,1.53,2.12,8.11,2.71,1.05,1.91,1.94,2.57,3.78,2.96,0.76,1.51,2.44,2.49
June,3.65,4.73,2.59,1.53,4.85,2.17,2.53,1.47,2.64,4.73,1.44,2.57,4.60,1.42,0.57,2.22,0.87
July,2.49,0.86,2.67,13.65,4.20,3.64,2.00,4.52,0.32,2.84,1.72,3.11,3.01,7.13,1.59,4.48,1.21
August,7.62,4.74,2.84,4.17,2.31,3.69,0.50,2.97,2.18,2.49,1.78,4.23,2.73,2.11,3.27,1.93,2.75
September,6.43,1.38,0.68,5.14,9.39,2.99,2.20,1.60,4.89,3.58,2.16,2.84,2.66,2.09,0.70,3.14,4.60
October,2.88,3.82,3.20,2.47,2.30,4.96,5.18,2.80,4.45,3.21,3.17,4.04,6.26,4.68,4.92,2.62,1.50
November,6.16,3.40,4.34,5.96,2.92,1.47,4.53,3.23,5.56,3.84,3.95,3.54,2.90,5.16,2.90,1.65,5.36
December,3.29,1.99,5.09,3.26,1.42,1.76,1.27,5.12,2.80,2.61,6.65,5.23,1.74,4.06,0.93,2.83,2.08
Total,43.46,35.16,28.93,51.92,42.66,37.15,32.36,34.27,37.15,38.12,41.44,36.11,39.64,35.71,29.92,31.02,28.77
,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/024,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/054,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/231,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"# Figures on the 1940s sheet for 1944, 1946 and 1947 are aggregate readings and averages, not monthly values.",,,,,,,,,,,,,,,,,
