ARDNADAM (HAFTON HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 17585 79846,Long,-4.925046,Lat,55.976838,Elevation,73,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,18.65,3.86,11.77,8.22,15.45,9.3,13.66,5.25,5.53,9.55,13.44,5.8,5.17,0.68,8.71,,,,,,,,
February,,,,,,,,,7.96,3.58,0.6,8.35,0.05,6.9,1.53,11.46,4.05,8.11,7.35,11.69,3.4,5.4,,,,,,,,,
March,,,,,,,,,7.16,2.19,5.49,1.76,3.42,5.08,3.74,3.13,4.91,1.77,10.41,6.04,6.59,2.89,,,,,,,,,
April,,,,,,,,,3.59,2.12,3.06,3.17,7.58,7.56,3.87,4.74,1.82,3.86,1.31,4.56,4.54,3.43,,,,,,,,,
May,,,,,,,,,2.27,6.79,4.91,7.45,3.06,3.59,4.84,1.06,3.29,1.89,6.16,1.12,1.05,2.69,,,,,,,,,
June,,,,,,,,,8.4,4.6,4.81,7.31,1.52,4.14,3.33,5.64,3.06,5.06,8.97,3.93,1.11,1.38,,,,,,,,,
July,,,,,,,,,5.39,7.63,5.03,5.36,4.28,4.91,4.1,3.64,7.69,8.21,5.64,6.9,3.5,3.85,,,,,,,,,
August,,,,,,,,,7.78,9.18,9.61,2.05,4.22,7.71,5.96,3.51,4.23,5.25,4.57,2.69,3.56,8.34,,,,,,,,,
September,,,,,,,,,6.22,2.63,5.96,2.1,7.31,0.88,11.23,10.06,6.4,7,8.98,5.62,5.42,4.96,,,,,,,,,
October,,,,,,,,,13.17,10.27,12.36,7.21,10.05,4.66,13.3,18.45,10.22,3.97,15.17,2.27,9.2,8.69,,,,,,,,,
November,,,,,,,,,13.96,10.6,8.28,13.24,8.2,3.4,2.89,7.44,6.18,1.36,15.5,13.87,10.87,9.53,,,,,,,,,
December,,,,,,,,,10.86,16.6,7.98,7.97,12.61,2.7,10.84,4.93,11.79,5.83,6.91,6.1,9.66,8.14,,,,,,,,,
Total,,,,,,,,,105.41,80.05,79.86,74.19,77.75,60.83,79.29,79.31,69.17,61.86,104.41,70.59,64.07,59.98,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Ja Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
