ST ALBANS BONE HILL,,,,,,,,,,,,
Grid ref,TL125046,Long,-0.372487,Lat,51.728838,,,,,,,
Station no,RR6498,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.55,0.84,0.85,2.66,3.08,1.16,3.85,1.22,1.56,0.77,,
February,4.08,1.38,1.21,0.99,3.23,0.87,2.31,1.48,1.27,0.46,,
March,0.81,2.25,1.73,3.19,1.32,3.02,1.55,1.14,3.11,3.21,,
April,1.28,2.54,0.88,1.63,1.16,2.29,0.57,2.89,3.12,2.06,,
May,0.99,1.52,2.07,2.19,2.22,1.00,1.61,2.31,2.12,1.42,,
June,2.75,0.73,3.46,6.16,0.90,3.78,2.68,2.46,1.82,4.79,,
July,0.72,2.46,1.20,3.70,3.77,1.35,0.92,2.00,3.42,2.80,,
August,3.29,2.21,3.98,3.86,2.18,3.08,1.55,2.17,3.27,2.09,,
September,0.77,1.36,1.24,2.45,1.54,1.70,1.22,0.60,1.84,1.87,,
October,2.17,2.02,1.78,7.22,1.31,1.43,5.12,4.93,2.66,4.60,,
November,2.53,0.71,1.66,1.82,1.73,3.29,3.87,2.76,1.25,0.95,,
December,3.18,4.58,1.32,2.22,2.23,1.03,2.92,3.31,2.57,3.10,,
Total,26.12,22.60,21.38,38.09,24.67,24.00,28.17,27.27,28.01,28.12,,
Calc annual,26.12,22.60,21.38,38.09,24.67,24.00,28.17,27.27,28.01,28.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
