"TOUCH RESERVOIRS NO.2. GAUGE",,,,,,,,,,,,
Grid ref,NS736916,Long,-4.033642,Lat,56.100402,,,,,,,
Station no,5356,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.85,1.49,6.38,2.46,5.05,7.00,,
February,,,,,3.42,2.10,2.87,2.91,2.87,1.65,,
March,,,,,2.84,5.98,2.77,4.01,5.20,2.24,,
April,,,,,4.80,2.34,1.21,2.24,1.51,4.99,,
May,,,,,3.80,1.95,5.41,6.09,3.65,4.37,,
June,,,,,2.07,0.81,1.96,5.61,2.46,2.36,,
July,,,,,2.91,2.62,2.31,3.12,4.16,3.18,,
August,,,,,5.58,5.83,5.73,6.48,5.26,3.57,,
September,,,,,4.45,2.60,1.87,1.86,7.26,2.01,,
October,,,,,2.15,3.12,6.50,6.72,2.25,7.97,,
November,,,,,1.41,6.94,4.55,2.95,4.31,2.05,,
December,,,,,4.96,4.57,2.50,7.26,4.10,6.42,,
Total,,,,,43.24,40.35,44.06,51.71,48.08,47.81,,
Calc annual,0.00,0.00,0.00,0.00,43.24,40.35,44.06,51.71,48.08,47.81,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
