"STIRLING ( TOUCH RESERVOIR )  NO 3",,,,,,,,,,,,
Grid ref,NS730913,Long,-4.043138,Lat,56.097549,,,,,,,
Station no,5355,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.09,4.49,1.80,4.94,3.03,3.16,7.49,5.08,1.90,,,
February,3.65,1.05,1.56,4.88,2.52,1.75,5.27,3.12,1.91,,,
March,3.44,4.22,2.68,4.64,2.37,2.82,4.95,1.83,3.05,,,
April,3.78,2.56,2.46,2.22,1.95,1.12,1.83,1.47,4.43,,,
May,2.02,2.41,3.43,5.39,3.87,2.31,3.49,3.86,1.38,,,
June,2.76,3.63,3.13,3.11,1.82,4.65,2.22,4.24,2.73,,,
July,3.72,2.71,6.89,2.35,1.18,6.24,5.37,8.78,5.65,,,
August,7.80,7.34,3.44,5.14,1.09,7.28,4.67,5.87,1.48,,,
September,4.34,2.74,5.87,6.89,3.32,6.98,2.74,4.84,1.01,,,
October,1.34,5.24,3.17,9.94,3.54,4.61,4.95,5.19,4.39,,,
November,8.22,1.95,7.66,8.78,2.82,1.24,1.63,1.77,5.63,,,
December,8.76,4.63,6.08,6.47,8.73,6.39,6.57,7.63,7.66,,,
Total,55.92,42.97,48.17,64.75,36.24,48.55,51.18,53.68,41.22,,,
Calc annual,55.92,42.97,48.17,64.75,36.24,48.55,51.18,53.68,41.22,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,NaN,,
