"STIRLING (TOUCH RES) NO 1",,,,,,,,,,,,
Grid ref,NS746917,Long,-4.017624,Lat,56.101563,,,,,,,
Station no,5357/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.07,5.25,,
February,,,,,,,,,2.19,5.53,,
March,,,,,,,,,3.05,2.61,,
April,,,,,,,,,4.53,5.15,,
May,,,,,,,,,1.39,3.69,,
June,,,,,,,,4.03,2.91,2.96,,
July,,,,,,,,7.97,6.01,4.69,,
August,,,,,,,,5.34,1.44,3.71,,
September,,,,,,,,4.98,0.95,3.75,,
October,,,,,,,,5.31,4.63,5.54,,
November,,,,,,,,1.80,6.13,7.27,,
December,,,,,,,,8.35,8.65,6.17,,
Total,,,,,,,,,43.95,56.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.78,43.95,56.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
