CARSPHAIRN (CORNHARROW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX668928,Long,-4.094938,Lat,55.211425,Elevation,810,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5020/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,6.3,8.5,2.59,6.13,10.21,8.26,5.71,2.28,1.4,8.7,9.38,6.07,4.87,7.77,6.49,10.4,7.34,3.14,6.3,6.18,2.26,6.99,4.26,4.01,8.01,8.02,3.3,6.16
February,,,4.9,0.46,6.48,2.9,6.31,3.87,7.57,2.05,4.04,3.31,5.64,2.02,6.98,4.07,,5.4,7.08,5.16,3.7,2.02,1.81,5.08,2.04,1.17,4.64,4.64,2.1,7.57
March,,,4.12,3.05,2.65,4.29,2.18,3.12,5.61,6.01,3.86,4.8,2.11,0.65,4.04,3.81,5.41,4.79,3.03,5.3,3.93,3.9,0.67,4.03,2.57,2.97,5.07,1.17,5,2.46
April,,,2.58,3.79,4.83,1.44,3.17,0.72,2.39,3.04,2.26,4.29,4.04,4.66,3.08,1.45,7.89,2.98,5.14,4.62,3.67,2.99,3.27,1.74,2.59,1.94,2.75,1.73,4.94,6.04
May,,,3.96,4.59,1.02,2.12,2.42,6.02,1.28,2.78,4.84,5.58,6.63,2.92,5.24,1.03,6.35,2.29,2.31,2.5,2.79,3.59,3.87,5.87,4.58,2.1,3.45,4.48,1.01,2.74
June,,2.31,3.39,2.46,7.45,2.55,3.62,7.39,3.76,1.02,2.08,0.91,5.16,4.14,4.92,2.73,,6.32,1.28,3.48,2.29,4.01,2.01,4.5,3.74,4.07,2.3,4.23,4.32,3.64
July,,5.45,7.48,4.78,2.08,7.03,6,7.93,6.02,4.97,2.79,4.41,3.59,5.77,5.42,4.66,5.64,3.07,2.44,7.37,2.46,4.9,7.02,5.94,1.9,6.45,6.15,5.21,6.18,5.26
August,,1.95,2.29,6.59,1.25,3.7,3.94,2.18,1.78,2.43,7.09,5.99,7.48,4.02,2.09,4.44,0.14,7.11,4.74,8,9.33,4.39,4.39,6.08,1.74,8.74,6.04,5.56,1.97,7.08
September,,5.93,1.21,7.37,6.79,6.73,2.35,4.83,2.7,6.06,4.09,7.03,2.9,5.55,5.6,10.06,6.24,6.68,2.1,14.63,6.38,2.12,6.52,6.94,4.6,6.9,4.48,7.09,2.18,4.78
October,,8.04,3.31,8.02,9.57,5.46,4.88,10.58,4.66,7.29,5.79,6.63,10.07,6.27,6.55,1.22,2.23,5.66,8.77,4.2,0.83,6.59,5.06,10.16,4.54,3.86,5.52,5.16,8.31,6.05
November,,3.97,2.8,1.17,7.48,6.75,1.14,10.71,9.53,7.13,6.6,1.74,4.43,8.23,0.43,9.99,6.87,4.38,7.92,4.73,13.89,3.76,7.07,10.3,3.97,2.73,2.68,2.55,10.24,11.28
December,,11.57,1.62,9.5,5.14,8.95,3.26,5.96,3.25,7.65,3.44,8.76,3.7,7.81,6.68,6.4,2.96,8.57,9.65,2.55,10.02,5.17,6.17,8.22,6.99,7.27,5.47,6.02,11.24,5.35
Total,,,43.96,60.28,57.33,58.05,49.48,71.57,54.26,52.71,48.28,62.15,65.13,58.11,55.9,57.63,,67.65,61.8,65.68,65.59,49.62,50.12,75.85,43.52,52.21,56.56,55.86,60.79,68.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to current location in Nov 1959 from NX668930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb 1, June 5 and total estimated, removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
