"CARSPHAIRN (CORNHARROW)",,,,,,,,,,,,
Grid ref,NX668928,Long,-4.094938,Lat,55.211425,,,,,,,
Station no,5020/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.30,6.18,2.26,6.99,4.26,4.01,8.01,8.02,3.30,6.16,,
February,3.70,2.02,1.81,5.08,2.04,1.17,4.64,4.64,2.10,7.57,,
March,3.93,3.90,0.67,4.03,2.57,2.97,5.07,1.17,5.00,2.46,,
April,3.67,2.99,3.27,1.74,2.59,1.94,2.75,1.73,4.94,6.04,,
May,2.79,3.59,3.87,5.87,4.58,2.10,3.45,4.48,1.01,2.74,,
June,2.29,4.01,2.01,4.50,3.74,4.07,2.30,4.23,4.32,3.64,,
July,2.46,4.90,7.02,5.94,1.90,6.45,6.15,5.21,6.18,5.26,,
August,9.33,4.39,4.39,6.08,1.74,8.74,6.04,5.56,1.97,7.08,,
September,6.38,2.12,6.52,6.94,4.60,6.90,4.48,7.09,2.18,4.78,,
October,0.83,6.59,5.06,10.16,4.54,3.86,5.52,5.16,8.31,6.05,,
November,13.89,3.76,7.07,10.30,3.97,2.73,2.68,2.55,10.24,11.28,,
December,10.02,5.17,6.17,8.22,6.99,7.27,5.47,6.02,11.24,5.35,,
Total,65.59,49.62,50.12,75.85,43.52,52.21,56.56,55.86,60.79,68.41,,
Calc annual,65.59,49.62,50.12,75.85,43.52,52.21,56.56,55.86,60.79,68.41,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
