"SOUTH CAIRN, KIRKHOLM, STRANRAER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW971695,Long,-5.1721807,Lat,54.978664,Elevation,212,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,7.05,3.75,7.15,7.7,4.7,4.3,6.35,4.35,4.35,9,8.35,5.05,11.65,6.15,3.85,,,,,
February,,,,,,,,,,,2.45,3.2,2.1,2.55,3.35,4.15,3.6,3.35,4.4,5.25,8.85,8.95,8.6,1.25,2.5,,,,,
March,,,,,,,,,,,3.85,5.75,4,4.35,5.65,3.2,4.4,2.15,6.25,2.2,3,2.85,5.15,3.4,3.5,,,,,
April,,,,,,,,,,,1.75,1.03,5,3.65,3.2,0.8,1.7,6.6,4.15,5.7,5.65,8.2,2.65,0.5,2.8,,,,,
May,,,,,,,,,,,3.25,1.3,5.25,4.65,1.65,4.55,1.55,4.15,3.85,2.5,4.85,2.05,2.85,3.8,1.35,,,,,
June,,,,,,,,,,,5.6,2.9,5.15,4.85,3.3,1.2,3.05,1.8,1.2,2,3.95,2.4,5.45,1.7,0.45,,,,,
July,,,,,,,,,,,1.1,6.15,6.5,1.1,3.15,3.65,4.35,5.7,0.85,3.2,4.05,5.25,4.55,5.2,2.95,,,,,
August,,,,,,,,,,3.2,4.25,7,3.1,4.65,2.6,3.6,5.5,4.65,4,2.6,2.9,3.1,7.6,5.55,7.3,,,,,
September,,,,,,,,,,3.15,1.8,5.1,2.1,4.75,5.4,0.65,5.8,5.05,2.5,8.2,6.3,2.8,7.7,4.55,5.15,,,,,
October,,,,,,,,,,4.45,4.65,3.55,6.95,7.5,2.75,5.4,3.1,6,6.2,4.6,8.1,4.8,4.8,4.85,5.9,,,,,
November,,,,,,,,,,3.6,2.9,5.05,2.7,4.45,4.2,6.2,6,2.65,4.05,9.05,4.05,7.15,7.25,2.35,8,,,,,
December,,,,,,,,,,3.01,3.65,3.25,6,4.3,2.5,3.6,4.7,4.4,8.5,5.9,2.2,3.55,9,2.05,4.45,,,,,
Total,,,,,,,,,,,42.3,48.03,56,54.5,42.45,41.3,50.1,50.85,50.3,60.2,62.25,56.15,77.25,41.35,48.2,,,,,
