OLD CUMMOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 56760 19945,Long,-4.266469,Lat,55.452341,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.2,3,7.52,6.36,4.46,3.99,2.1,9.17,5.14,,1.64,0.37,4.11,5.6,8.2,3.32,6.38,3.54,3.6,3.14,6.26,2.99,,1.76,,,,,,
February,3.7,3.7,3.33,0.69,1.77,1.48,4.39,4.9,2.32,,5.22,1.9,3.87,3.91,6.03,4.31,1.61,3,1.94,3.17,1.05,0.47,,4.43,,,,,,
March,1.55,2.93,2.14,3.1,4.09,1.51,6.2,2.51,1.99,,2.43,5.92,3.74,2.28,2.9,2.88,3.03,2.53,3,2.56,3.07,,,1.74,,,,,,
April,1.5,2.85,0.98,0.35,2.04,1.49,1.5,2.45,2.38,,3.44,1.17,2.26,2.12,1.37,2.18,2.64,2.52,1.81,1.84,1.91,,,1.24,,,,,,
May,3.65,0.82,3.53,2.56,1.34,2.8,0.97,2.99,2.66,,1.26,2.54,1.06,1.92,4.11,2.41,3.71,2.19,2.68,2.56,3.28,,,2.56,,,,,,
June,1.7,3.1,5.85,1.17,1.19,3.24,3.54,3.12,1.58,,1.94,3.87,3.78,2.58,0.79,1.14,1.23,0.95,1.77,0.59,3.79,,,1.7,,,,,,
July,1.85,3.55,3.18,4.69,3.67,2.41,2.9,3.71,1.01,,2.48,4.02,5.37,2.25,5.31,1.55,2.79,4,4.31,3.12,4.36,,,4.72,,,,,,
August,2.2,4.08,3.2,5.4,5.52,2.83,4.4,5.7,2.83,,0.61,4.42,3.18,5.65,2.25,3.22,2.2,3.47,3.59,5.64,3.45,,,3.76,,,,,,
September,3.5,1.6,7.49,5.47,4.18,5.28,2.77,2.56,6.13,,4.06,1.99,3,5.15,3.68,5.25,4.35,4.75,2.57,3.5,5.72,,,3.62,,,,,,
October,5.8,2.32,3.87,7.75,7.52,5.41,5.11,4.75,5.97,,1.22,2.92,3.71,5.49,3.98,4.89,3.5,2.03,2.33,3.91,3.7,,,5.86,,,,,,
November,2.4,2,5.43,2.34,5.59,4.75,2.48,6.41,2.02,,5.36,5.17,7.03,7.1,3.21,2.53,4.32,3.94,7.27,3.75,8.11,,,3.42,,,,,,
December,2.2,5.25,6.81,3.28,2.52,3.56,5.04,5.87,1.85,,4.84,5.26,4.29,5.8,7.73,3.41,5.96,4.65,3.78,5.01,1.71,,,5.47,,,,,,
Total,33.25,35.2,53.33,43.16,43.89,38.75,41.4,54.14,35.88,,34.5,39.55,45.4,49.85,49.56,37.09,41.72,37.57,38.65,38.79,46.41,,,40.28,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893 different Obs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879 T est  deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
