DUNGIVEN (BANAGHER FILTERS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC670046,Long,-6.95666,Lat,54.884786,Elevation,373,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6244/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.16,6.43,4.59,6.35,3.36,7.42,10.12,6.61,4.46,4.95,4.46,8.88,6.66,5.21,4.8,6.25,6.82,6.4,4.89,4.16,3.75,7.14,1.41,5.31,4.46,4.91,6.8,5.1,2.99,5.9
February,4.87,0.17,4.91,0.7,5.98,2.57,7.13,2.9,4.71,3.7,4.85,2.77,4.59,1.83,4.7,4.09,2.32,3.26,3.94,4.88,4.11,2.42,2.3,6.47,4.43,1.84,4.68,6.17,1.3,5.82
March,1.85,3.74,4.13,3.21,1.42,4.03,4.25,2.76,4.65,5.05,4.57,4.46,1.71,1.62,2.11,2.64,6.08,3.68,2.65,2.27,2.87,2.12,1.17,4.58,1.55,2.96,3.3,2.58,4.96,2.49
April,4.13,5.51,2.35,4.68,3.89,1.53,3.41,0.38,2.86,5.46,2.34,3.29,3.49,3.22,2.48,1.38,5.83,3.58,3.65,5.34,2.74,2.1,2.9,1.36,3.14,1.75,1.32,2.19,4.38,4.68
May,5.28,2.49,3.82,4.21,1.78,2.27,1.84,2.73,1.46,1.34,2.59,4.23,4.91,3.05,5.74,1.89,3.74,2.14,2.47,2.48,2.33,1.8,3.2,6.42,4.31,2.17,1.79,3.27,1.36,2.63
June,4.75,2.08,2.78,2.94,4.8,2.77,2,5.32,3.09,1.54,0.54,1.25,3.23,3.69,5.68,4.82,5.28,4.16,2.06,2.76,2.48,3.02,2.53,3.82,4.3,3.73,1.56,5.58,2.66,2.97
July,5.46,4.8,3.47,3.39,1.97,8.19,6.26,5.81,5.17,4.57,5.09,4.54,2.59,4.58,5.36,5.62,5.3,3.54,2.16,6.35,4.2,2.93,5.43,4.52,1.29,5.18,6.21,6.49,4.08,6.06
August,3.08,2.03,2.59,6.9,3.11,2.98,4.03,2.7,1.78,1.67,6.32,6.15,7.28,3.13,2.07,7.42,0.28,4.55,3.14,5.88,5.58,4.87,4.78,3.41,0.99,6.69,4.05,4.4,2.09,4.94
September,2.11,4.02,0.84,7.66,5.39,5.51,3.75,3.66,2.2,3.91,1.18,6.08,4.12,6.29,4.75,8.01,3.31,5.11,2.81,8.31,3.39,4.23,3.63,7.15,4.68,4.77,6.72,5.48,1.43,3.38
October,3.38,5.57,4.87,7.2,8.21,4.79,2.32,8.52,4.1,5.82,5.27,4.86,4.95,7.27,6.51,1.98,2.2,3.9,5.62,5.21,2.03,6.99,3.17,5.96,4.42,3.29,4.25,4.85,5.96,7.3
November,6.8,4.16,2.08,1.58,6.49,6.07,2.26,9.22,6.94,7.12,9.26,1.65,4.87,6.93,0.96,4,6.89,3.15,5.03,4.4,8.32,4.08,4.76,7.15,3.54,4.15,1.59,2.51,8.16,5.18
December,3.73,7.46,3.66,8.23,5.4,6.1,3.46,6.05,5.46,6.98,4.26,8.72,3.49,6.65,6.65,6.51,2.99,7.78,7.19,5.21,5.69,6.01,3.9,7.15,7.42,7.59,7.16,7.36,9.8,5.2
Total,51.6,48.46,40.09,57.05,51.8,54.23,50.83,56.66,46.88,52.11,50.73,56.88,51.89,53.47,51.81,54.61,51.04,51.25,45.61,57.25,47.49,47.71,39.18,63.3,44.53,49.03,49.43,55.98,49.17,56.55
