MEPPERSHALL-HIGH-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL137362,Long,-0.344725,Lat,52.012591,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.7,3.37,2.36,3.8,2.43,2.62,2.13,3.64,1.26,2.17,1.36,1.3,3.35,0.83,0.73,2.06,1.03,0.89,0.71,1.94,3.79,1.12,2.56,3.32,2.39
February,,,,,2.21,1.9,3.21,0.46,0.63,1.34,1.93,0.88,0.74,1.04,1.32,1.7,1.69,0.65,0.99,3.41,3.49,0.51,1.15,1.39,1.58,0.56,2.79,2.47,0.08,2.05
March,,,,,0.26,0.95,2.96,0.23,1.51,2.74,3.1,1.12,0.68,0.07,0.48,1.42,5.26,0.79,1.09,0.49,2.35,2.57,0.45,1.9,0.98,0.68,0.94,1.67,2.05,1.35
April,,,,,2.45,1.16,2.26,0.05,3.09,1.5,1.29,1.06,0.93,1.75,0.55,1.24,1.53,0.98,1.23,1.59,2.3,1.5,1.86,0.28,0.36,1.14,0.24,0.87,1.93,0.35
May,,,,,1.54,0.54,3.87,2.01,1.53,1.08,2.11,2.3,1.74,0.79,2.14,2.24,1.1,2.87,1.37,2.96,2.22,1.48,1.25,2.57,3.41,0.52,0.88,1.66,0.84,1.25
June,,,,,2.25,5.14,1.62,0.82,1.87,0.88,1.07,0.25,2.28,1.06,1.86,1.94,1.28,2.99,0.52,1.23,0.7,1.13,1.79,2.35,2.04,2.3,1.12,5.05,0.6,2.24
July,,,,,0.33,5.14,1.84,2.08,2.91,2.95,2.1,2.88,0.82,1.38,2.03,1.39,1.71,1.54,4.04,4.75,1.29,0.26,2.53,2.96,0.51,3.37,3.1,4.47,3.91,3.42
August,,,,,1.41,0.43,1.24,3.33,4.01,0.04,3.55,1.84,1.4,1.87,1.03,3.58,0.01,4.39,1.49,3.04,3.33,2.81,2.32,3.26,0.73,4.14,2.87,3.28,0.84,2.87
September,,,,,3.23,2.58,1.98,1.49,0.84,0.63,0.55,1.21,1.21,1.94,2.35,2.5,1.11,2.04,0.26,2.57,2.35,2.37,1.09,1.41,1.04,1.72,2.75,3.5,0.09,3.39
October,,,,,,1.64,2.22,2.46,3.49,2.42,1.57,2.85,2.03,3.02,2.59,1.58,0.22,2.04,3.99,0.34,1.24,2.23,1.92,1.52,1.88,1.55,1.97,2.36,1.73,4.66
November,,,,,,2.3,1.63,2.18,3.3,7.01,2.12,1.73,0.96,2.74,0.71,4.57,1.21,1.45,2.4,3.8,3.62,2.98,1.07,3.63,1.14,0.68,1.72,1.6,2.06,4.02
December,,,,,1.86,1.64,2.47,3.61,1.17,1.15,0.97,1.8,0.89,0.83,2.66,1.81,2.53,1.69,1.22,1.13,1.21,1.65,0.44,1.77,1.93,2.88,2.2,2.31,3.1,3.1
Total,,,,,,26.12,28.67,21.08,28.15,24.17,22.98,20.05,17.32,17.75,19.89,25.33,18.95,24.78,19.43,26.04,26.16,20.52,16.76,23.75,17.54,23.33,21.7,31.8,20.55,31.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved from Stondon Manor in Jan 1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Jan Oct Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
