WEST KILBRIDE (CROSBIE RES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS219504,Long,-4.836661,Lat,55.714212,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5214/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.28,6.34,3.6,4.15,3.15,3.7,4.7,6.26,3.9,3.15,0.4,6.7,5.45,4.4,3.5,5.05,5.1,6.65,4.75,2.95,3.95,3.9,2.8,5.5,2.6,2.55,4.95,3.85,1.5,
February,3.58,0.02,2.42,0.34,4.7,2.3,4.73,2.35,5.4,2.1,3.15,1.6,4.05,1.28,5.63,2.65,0.3,3.75,4.3,3.5,2.2,1.35,1.9,4.55,2.27,1.35,2.3,2.35,1.65,
March,0.95,2.49,1.72,1.94,2.51,1.78,1.3,3.03,3.52,4.23,2.25,3,1.32,0.58,2.93,1.7,3.75,3.7,3,3,3.05,3.55,0.95,2.85,2,2.6,4.75,0.9,2.75,
April,1.62,3.24,2.1,2.97,3.52,1.65,2.45,0.26,2.5,2.55,1.73,2.15,3.15,2.65,2.25,1.85,5.4,3.25,4.75,2.85,2.05,2,2,1.55,4.15,1.15,2.45,1.7,2.95,
May,4,2.58,3.22,2.9,0.45,2.48,1.36,3.85,1.15,1.4,3.07,2.95,3.16,3.15,3.9,0.78,4.68,2,1.85,1.55,2.3,1.7,2.7,2.85,4,2.3,2.45,3.25,1.43,
June,4.75,2.14,2.48,2.78,3.98,1.8,4.32,5.35,2.45,1,1.25,2.4,4.15,3.05,4.5,2.23,4.15,5.25,1.25,2.95,1.9,3.15,1.45,3.5,3.5,2.85,2.7,2.5,3.5,
July,4.68,4.05,4.75,3.11,2.5,5.45,5.45,5.2,5.75,3.3,3.54,4.15,2.35,4.5,3,4.45,3.41,3.6,1.35,6.45,3.35,2.7,3.85,4.1,1.4,5.15,4.85,4.95,5.25,
August,1.56,3.3,4.35,4.25,1.67,4.04,3.45,2.9,1.85,1.98,4.35,5.55,7.3,2.85,2.23,2.9,0,5.9,4.15,5.75,4.25,4.27,3.45,5.7,0.85,5.25,3.3,4.92,,
September,1.62,4.4,0.88,5.98,5.35,4.35,2.4,4.35,3.47,4.95,2,6.5,3.05,5.3,4.7,7.1,3.9,6.25,2.15,8.8,3.4,2.95,5.7,5.55,5,4.95,2.5,3.85,,
October,3.73,6.53,3.15,7.8,9,4.42,2.64,8.85,2.7,4.85,4.1,5.8,8.1,6.4,6.8,0.4,2.65,7.2,6.2,3.7,1.3,5.95,3.5,9.3,2.9,2.4,4.7,3.55,,
November,7.55,3.78,3.32,0.72,5.43,3.45,0.65,8.4,7.5,6.4,3,0.7,2.7,6.05,0.37,6.9,6.23,3.6,5.9,3.65,5.65,2.7,6.35,6,2.15,1.7,2.7,2,,
December,3.56,7.16,1.5,7.65,3.54,5.6,2.1,2.98,3.25,6.25,1.87,5.45,2.4,4.5,4.23,4.3,2,6.7,6.55,1.3,6.55,5,4.75,4.65,6,3.95,3.75,5.93,,
Total,41.88,46.03,33.49,44.59,45.8,41.02,35.55,53.78,43.44,42.16,30.71,46.95,47.18,44.71,44.04,40.31,41.57,57.85,46.2,46.45,39.95,39.22,39.4,56.1,36.82,36.2,41.4,39.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Jan Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Mar Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Mar Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jun Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 -999 Removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5214/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd  Stn,648855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
