HABROUGH - HOME FARM,,,,,,,,,,,,,,
Grid ref,TA154142,Long,-0.257,Lat,53.612,Elevation,50,ft,,,,,,
Station no,2577/4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,,2.87,3.19,2.80,3.44,2.04,1.87,4.99,1.05,1.05,1.81,1.62,1.29,1.89
February,,1.15,0.48,2.23,1.54,2.14,2.17,1.25,0.48,3.79,2.40,0.69,1.61,1.96
March,,1.18,0.34,0.49,0.50,1.25,4.44,0.55,0.81,0.79,2.53,2.11,0.69,1.62
April,,0.85,0.94,2.34,1.67,1.31,1.28,2.13,2.26,3.28,1.02,1.16,2.17,0.32
May,,3.49,2.95,1.93,0.99,1.30,0.68,2.00,1.45,2.22,4.42,1.14,1.84,2.83
June,,1.69,1.61,1.79,2.07,2.72,1.94,3.87,0.58,1.96,1.36,2.53,2.97,1.68
July,5.38,2.18,0.97,2.53,1.21,3.78,1.23,0.97,3.07,2.57,1.27,0.75,2.05,2.35
August,2.13,1.28,2.55,3.25,2.90,2.81,0.14,3.27,1.62,3.52,5.38,1.76,2.45,4.62
September,1.62,2.60,2.27,4.62,1.06,4.17,0.98,2.29,1.46,2.77,0.87,2.99,1.57,2.07
October,2.68,1.70,1.10,2.77,1.90,1.99,0.65,0.98,2.28,0.95,1.62,2.62,2.08,
November,2.62,1.71,2.03,3.82,0.77,4.73,1.53,0.91,2.57,3.78,3.13,2.42,1.30,
December,0.38,1.98,0.91,1.06,1.34,2.06,1.88,2.87,2.09,2.74,1.44,1.60,1.03,
Total,,22.68,19.34,29.63,19.39,30.30,18.79,26.08,19.72,29.42,27.25,21.39,21.05,
,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/258,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/262,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The gauge was moved to a field location in December 1944.,,,,,,,,,,,,,,
