NORTHWICH-SANDIWAY-WW,,,,,,,,,,,
Grid ref,SJ577708,Long,-2.6351581,Lat,53.232541,Elevation,183,ft.,,,
Station no,2775,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.59,2.25,3.4,,,
February,,,,,,4.73,2.9,1.31,,,
March,,,,,,0.81,1.05,3.12,,,
April,,,,,,1.61,0.91,3.07,,,
May,,,,,,4.64,4.36,1.33,,,
June,,,,,,0.08,2.26,4.87,,,
July,,,,,,2.26,3.89,3.13,,,
August,,,,,,4.99,3.28,4.4,,,
September,,,,,,4.36,4.92,5.98,,,
October,,,,,,4.4,2.77,2.85,,,
November,,,,,,2.43,5.03,3.21,,,
December,,,,,,2.17,0.68,1.39,,,
Total,,,,,,34.07,34.3,38.06,,,
,,,,,,,,,,,
MIDAS src_id 11844 CRABTREE GREEN Start 1925 end 198,,,,,,,,,,,
NGR is Sandiway WW about 0.5 miles W of the 1950s location; The gauge moved 0.5 miles E in 1927. Altitudes match,,,,,,,,,,,
