DELAMERE-FOREST-KINGSWOOD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ533727,Long,-2.701349,Lat,53.249249,Elevation,355,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,1.77,3.35,2.67,3.75,3.23,3.63,,,,,,,
February,,,,,,,,1.18,1.92,1.16,2.4,0.31,2.61,,,,,,,
March,,,,,,,,2.21,0.79,5.72,3.48,1.55,1.88,,,,,,,
April,,,,,,,,2.76,1.65,1.63,4.52,1.24,2.29,,,,,,,
May,,,,,,,,3.11,4.29,0.62,3.98,1.4,0.76,,,,,,,
June,,,,,,,,2.01,2.16,1.58,2.33,0.36,1.92,,,,,,,
July,,,,,,,,1.53,6.19,1.67,5.39,0.55,3.82,,,,,,,
August,,,,,,,,4.96,2.32,3.94,2.42,4.07,3.06,,,,,,,
September,,,,,,,,1.69,6.57,2.65,3.14,1.08,3.87,,,,,,,
October,,,,,,,,5.2,1.85,3.28,1.52,2.46,0.35,,,,,,,
November,,,,,,,,3.07,2.2,1.99,0.71,2.19,,,,,,,,
December,,,,,,,,1.38,4.57,5.59,2.05,3.55,,,,,,,,
Total,,,,,,,,30.87,37.86,32.5,35.69,21.99,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is a nursery in the Kingswood area of the Delamere Forest and matches the approx Long/lat on the record. Altitudes match. NGR could be +/- 250m. Gauge moved 1.75 miles to Linmer.,,,,,,,,,,,,,,,,,,,,
