PLYMOUTH (DRAKE'S RESERVOIR),,,,,,,,,,,,
Grid ref,SX481551,Long,-4.137618,Lat,50.376132,,,,,,,
Station no,1636,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.69,3.94,1.10,1.64,5.65,4.61,3.45,4.93,4.95,5.10,,
February,4.05,0.71,1.83,4.75,3.53,0.36,5.82,4.16,0.21,4.18,,
March,4.64,4.45,0.63,3.59,1.55,1.63,4.65,2.00,4.93,2.62,,
April,2.15,3.55,2.80,0.39,1.64,1.04,0.17,0.78,3.61,2.74,,
May,2.85,2.21,3.80,2.82,3.35,0.99,1.93,3.59,0.83,2.33,,
June,1.01,1.17,2.37,3.21,2.66,2.65,1.77,3.45,1.46,1.10,,
July,1.10,0.90,3.70,3.45,2.01,4.01,0.40,3.07,1.49,4.18,,
August,5.22,6.88,2.07,3.16,0.35,3.53,3.36,5.45,3.17,4.39,,
September,4.91,3.24,2.72,4.11,1.86,7.89,3.93,5.37,,5.62,,
October,1.17,5.40,3.81,4.21,2.64,1.95,2.91,3.38,4.68,7.84,,
November,5.98,4.06,2.78,8.04,3.70,1.46,2.82,3.41,7.74,6.31,,
December,3.80,3.68,0.80,3.56,6.00,5.89,2.68,4.93,9.12,4.67,,
Total,41.57,40.19,28.41,42.93,34.94,36.01,33.89,44.52,42.19,51.08,,
Calc annual,41.57,40.19,28.41,42.93,34.94,36.01,33.89,44.52,42.19,51.08,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
