"TAUNTON, THE MOUNT, HALSE",,,,,,,,,,,,
Grid ref,ST138277,Long,-3.230926,Lat,51.042164,,,,,,,
Station no,RR7944,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.78,2.65,1.85,4.86,,,5.64,1.75,1.57,1.70,,
February,4.45,1.10,1.34,2.12,,,3.18,1.63,2.48,0.48,,
March,1.56,3.10,1.99,4.33,,,1.96,1.18,3.34,3.92,,
April,1.47,3.00,1.35,2.40,,,0.97,3.91,2.06,1.99,,
May,2.31,0.86,2.56,2.65,,,2.78,2.98,1.69,1.06,,
June,3.08,1.15,2.35,2.28,,,2.07,1.99,0.48,3.98,,
July,1.33,2.77,1.81,2.91,,0.50,0.54,2.20,2.14,1.82,,
August,2.32,1.30,2.51,3.18,,5.14,1.89,1.88,3.86,1.78,,
September,0.69,1.47,2.53,4.71,,1.47,0.73,0.69,3.04,2.23,,
October,4.39,2.25,2.16,8.07,,2.17,4.74,6.11,4.43,5.39,,
November,4.53,1.90,3.65,2.13,,2.88,4.67,2.78,1.66,1.31,,
December,6.29,5.98,2.93,4.01,,0.99,2.38,5.27,2.72,4.58,,
Total,37.20,27.53,27.03,43.65,,,31.55,32.37,29.47,30.24,,
Calc annual,37.20,27.53,27.03,43.65,0.00,13.15,31.55,32.37,29.47,30.24,,
Difference,-0.00,0.00,0.00,-0.00,NaN,NaN,0.00,-0.00,0.00,-0.00,,
