TAUNTON THE MOUNT HALSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7944,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,3.27,3.73,0.61,2.27,0.88,6.85,,
February,,,,,2.78,0.14,0.60,4.47,2.74,4.08,,
March,,,,,2.62,2.39,3.35,4.50,1.15,1.20,,
April,,,,,2.19,3.32,0.83,2.94,1.56,3.93,,
May,,,,,1.70,0.64,0.09,1.40,4.70,1.89,,
June,,,,,1.77,1.32,3.16,2.09,1.75,1.21,,
July,,,,,3.97,2.91,1.31,1.18,0.19,0.39,,
August,,,,,3.06,2.66,3.44,5.31,4.03,1.74,,
September,,,,,2.47,1.78,6.04,3.62,1.07,2.45,,
October,,,,,4.17,4.49,3.81,1.32,5.16,3.02,,
November,,,,,6.12,6.73,1.19,2.03,4.76,3.28,,
December,,,,,2.71,4.10,5.73,6.33,3.73,3.89,,
Total,,,,,36.83,34.21,30.16,37.46,31.72,33.93,,
Calc annual,0.00,0.00,0.00,0.00,36.83,34.21,30.16,37.46,31.72,33.93,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
