ULLAPOOL (SEMARDON),,,,,,,,,,,,
Grid ref,NH128942,Long,-5.160307,Lat,57.897820,,,,,,,
Station no,5783/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.19,4.33,6.48,5.77,7.50,3.92,,
February,,,,,3.31,4.68,3.34,5.65,1.83,2.68,,
March,,,,,1.64,1.83,4.08,2.33,2.36,0.44,,
April,,,,,1.70,3.69,2.32,3.50,5.27,3.38,,
May,,,,,3.13,3.94,1.71,5.69,2.05,2.03,,
June,,,,,1.67,2.65,3.14,2.54,4.16,3.67,,
July,,,,,0.82,5.20,4.17,1.75,6.62,2.56,,
August,,,,,0.72,5.10,5.62,4.77,3.15,4.64,,
September,,,,,6.09,2.61,6.28,2.62,2.46,2.74,,
October,,,,,6.76,6.71,9.20,6.17,8.08,1.56,,
November,,,,,1.82,5.37,3.03,2.67,5.62,3.22,,
December,,,,,7.65,7.18,10.79,5.22,3.77,7.29,,
Total,,,,,38.50,53.29,60.16,48.68,52.87,38.13,,
Calc annual,0.00,0.00,0.00,0.00,38.50,53.29,60.16,48.68,52.87,38.13,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,0.00,,
