WOKINGHAM-READING-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU794697,Long,-0.85950289,Lat,51.420762,Elevation,182,ft.,,,,,,,,,,,,,
Station no,778/1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,
January,,,,1.5,1.64,1.74,1.33,5.02,1.47,0.6,2.75,1.84,0.95,1.25,2.74,3.35,1.58,2.89,2.74,2.45,
February,,,,1.23,1.72,2.41,1.4,0.97,0.95,3.88,5.28,0.74,1.45,2.25,1.34,0.28,2.84,2.59,0.17,2.04,
March,,,,0.11,0.58,1.15,5.1,0.81,1.56,0.63,3.98,2.47,0.35,2.29,0.99,0.52,1.19,1.52,2.66,1.3,
April,,,,1.21,1.04,1.62,1.72,1.43,1.33,2.33,2.75,1.61,2.82,0.26,0.33,1.53,0.31,1.16,1.97,0.56,
May,,,,0.48,1.73,3.33,1.5,2.27,2.09,1.44,2.38,3.98,1.61,2.49,4.09,0.2,1.01,1.78,0.34,2.2,
June,,,,1.7,2.62,3.24,1.59,1.63,0.64,1.39,0.97,1.36,1.34,4.43,2.33,2.1,1.55,3.79,0.76,1.33,
July,,,,1.54,3.24,2.18,1.52,0.86,1.95,4.02,1.26,0.34,3.42,3.03,0.22,2.66,5.15,1.63,2.8,2.96,
August,,,,1.16,1.21,3.51,0.24,2.93,1.63,4.01,4.22,1.85,1.68,3,0.6,3.86,1.79,3.62,1.3,3.46,
September,,,,2.33,2.14,4.47,1.36,2.4,1.7,3.17,3.31,2.53,2.2,2.03,1.93,2.96,2.74,3.11,0.18,3.17,
October,,,,3.83,3.61,0.98,0.32,2.29,6.86,0.49,0.52,3.23,2.83,2.11,3.42,1.99,2.13,2.9,2.76,7.74,
November,,,,3.98,0.19,3.82,1.03,1.83,2.73,4.99,5.69,3.02,1.04,4.44,1.63,0.49,2.21,2.39,2.23,3.46,
December,,,,1.63,2.64,2.41,2.22,3.08,1.37,1.72,1.81,2.53,0.66,2.43,2.42,3.69,2.45,2.64,3.71,3.09,
Total,,,,20.7,22.36,30.86,19.33,25.52,24.28,28.67,34.92,25.5,20.35,30.01,22.04,23.63,24.95,30.02,21.62,33.76,
,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Reading Road. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
