MAYBOLE SAUCHRIE,,,,,,,,,,
Grid ref,NS302146,Long,-4.6827085,Lat,55.395872,Elevation,380,ft,,
Station no,RR8458,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.57,4.18,1.67,2.22,1.6,3.65,6.55
February,,,2.18,4.39,7.47,0.32,2.43,2.84,5.48,1.77
March,,,1.17,1.67,2.74,3.88,5.31,5.12,1.9,4
April,,,1.22,1.51,1.97,2.43,2.68,2.45,3.48,4.21
May,,,5.5,2.63,3.78,0.19,0.91,2.07,2.35,3.98
June,,,3.5,1.67,3.81,1.46,3.68,6.24,3.02,1.65
July,,,3.16,6.12,3.04,4.66,5.75,2.14,1.64,3.6
August,,,8.14,3.44,4.1,6.2,3.46,4.77,4.99,1.96
September,,,6.09,3.77,0.1,1.34,5.75,5.34,4.3,5.14
October,,,3.2,8.49,3.33,5.13,4.15,1.88,3.2,4.46
November,,,4.14,3.44,3.77,4.2,2.2,5.13,5.5,6.1
December,,,2.74,5.08,4.04,5.37,6.44,5.93,6.35,4.01
Total,,,,43.78,42.33,36.85,44.98,45.51,45.86,47.43
