STEYNING-THE-CRESCENT (BRAMBER MAUDLIN),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ1807910215,Long,-0.32296,Lat,50.87937,Elevation,80,ft,,,,,,,,,,,,
Station no,RR4319,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.74,0.8,3.2,2.91,,,,,,,,
February,,,,,,,,,1.23,2.33,1.14,0,,,,,,,,
March,,,,,,,,,3.99,2.05,1.14,2.41,,,,,,,,
April,,,,,,,,,1.17,1.78,2.99,0.61,,,,,,,,
May,,,,,,,,,1.57,1.48,1.66,2.43,,,,,,,,
June,,,,,,,,0.7,2.91,0.96,2.88,1.54,,,,,,,,
July,,,,,,,,0.53,6.03,2.5,4.2,2.99,,,,,,,,
August,,,,,,,,0.68,1.64,3.09,2.96,4.99,,,,,,,,
September,,,,,,,,3.36,1.09,1.3,0.97,2.13,,,,,,,,
October,,,,,,,,1.16,2.16,6.55,1.39,6.27,,,,,,,,
November,,,,,,,,5.51,4.48,1.36,3.07,3.31,,,,,,,,
December,,,,,,,,2.27,2.01,2.09,0.43,3.61,,,,,,,,
Total,,,,,,,,,29.02,26.29,26.03,33.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1892 Jan - Gauge moved to Annington,,,,,,,,,,,,,,,,,,,,
