STOCKGROVE PARK [LEIGHTON BUZZARD],,,,,,,,,,,,
Grid ref,SP916293,Long,-0.668472,Lat,51.954655,,,,,,,
Station no,RR6279,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.03,1.07,1.93,0.83,,
February,,,,,,,1.55,1.50,1.00,0.54,,
March,,,,,,,2.00,0.95,2.85,2.71,,
April,,,,,,,0.63,3.15,4.36,1.38,,
May,,,,,,,1.25,3.96,1.73,2.04,,
June,,,,,,,2.83,1.95,1.15,4.36,,
July,,,,,,,0.20,2.48,2.51,3.14,,
August,,,,,,,1.63,1.64,2.56,2.75,,
September,,,,,,,2.52,0.60,1.84,2.55,,
October,,,,,,,4.22,3.95,1.55,5.26,,
November,,,,,,,4.92,2.00,1.12,1.00,,
December,,,,,,,2.24,3.85,1.73,2.94,,
Total,,,,,,,27.02,27.10,24.33,29.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,27.02,27.10,24.33,29.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,-0.00,,
