LEIGHTON-BUZZARD-STOCKGROVE-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP916293,Long,-0.668472,Lat,51.954655,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.03,1.07,1.93,0.83,1.59,1.13,3.65,2.84,0.93,2.97,1.31,1.41,1.95,2.38,2.33,2.2,2.62,1.25,,,,,,,
February,,,,,,,1.55,1.5,1,0.54,2.69,1.61,1.55,0.84,2.04,2.43,3.1,1.43,1,3.23,0.66,0.58,2.05,2.82,,,,,,,
March,,,,,,,2,0.95,2.85,2.71,1.04,1.56,2.79,2.61,3.91,1.18,4.16,1.5,0.4,2,1.86,1.01,1.72,1.39,,,,,,,
April,,,,,,,0.63,3.15,4.36,1.38,2.38,1.3,0.12,2.59,0.91,0.87,1.06,1.92,4.1,3.26,3.06,1.19,3.73,1.8,,,,,,,
May,,,,,,,1.25,3.96,1.73,2.04,2.91,1.28,1.58,2.27,1.15,2.34,1.18,2.11,2.12,0.51,1.28,1.46,1.03,1.2,,,,,,,
June,,,,,,,2.83,1.95,1.15,4.36,2.15,1.46,2.51,1.5,2.39,0.51,3.72,2.18,1,1.33,2.6,0.1,1.34,0.56,,,,,,,
July,,,,,,,0.2,2.48,2.51,3.14,2.19,0.71,3.18,2.14,1.89,4.7,2,2.58,6.76,2.6,3.85,0.47,4.81,2.83,,,,,,,
August,,,,,,,1.63,1.64,2.56,2.75,2.3,0.96,5.75,0.8,1.3,1.86,2.15,7.2,1.02,3.1,1.03,1.7,3.69,2.81,,,,,,,
September,,,,,,,2.52,0.6,1.84,2.55,0.67,1.28,1.42,1.54,1,1.84,0.69,2.05,6.04,1.9,2.37,1.63,2.21,2.23,,,,,,,
October,,,,,,,4.22,3.95,1.55,5.26,2.85,2.28,2.29,3.61,3.2,1.87,3.27,4.31,2.08,1.4,0.94,1,0.91,3.37,,,,,,,
November,,,,,,,4.92,2,1.12,1,3.59,2.2,2.1,2.55,2.38,2.04,2.9,1.06,2,2.15,1.23,1.95,1.01,1.3,,,,,,,
December,,,,,,,2.24,3.85,1.73,2.94,5.32,4.84,3.31,1.1,5.95,4.5,2.6,0.6,2.95,2.95,1.37,1.41,2.15,2.8,,,,,,,
Total,,,,,,,27.02,27.1,24.33,29.5,29.68,20.61,30.25,24.39,27.05,27.11,28.14,28.35,31.42,26.81,22.58,14.7,27.27,24.36,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
